[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=7.58933E-157]
[locus_tag=SynWH7803_0172],[protein_id=CAK22598.1],[gene=mreB],[protein=Rod shape-determining protein MreB],[locus_tag=PMM1622],[protein_id=CAE20081.1],[gene=mreB],[protein=Rod shape determining protein],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0173],[protein_id=CAK22599.1],[gene=mreC],[protein=Rod shape-determining protein],[locus_tag=PMM1621],[protein_id=CAE20080.1],[gene=mreC],[protein=putative rod shape-determining protein],[evalue=2.38144E-70]
[locus_tag=SynWH7803_0174],[protein_id=CAK22600.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM1620],[protein_id=CAE20079.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.24178E-26]
[locus_tag=SynWH7803_0176],[protein_id=CAK22602.1],[gene=None],[protein=Two-component system response regulator],[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator],[evalue=5.79629E-143],[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator],[evalue=6.22631E-92],[locus_tag=PMM0128],[protein_id=CAE18587.1],[gene=rpaA],[protein=two-component response regulator],[evalue=2.68851E-50]
[locus_tag=SynWH7803_0177],[protein_id=CAK22603.1],[gene=lysS],[protein=Lysyl-tRNA synthetase],[locus_tag=PMM1618],[protein_id=CAE20077.1],[gene=lysS],[protein=Lysyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=PMM1688],[protein_id=CAE20147.1],[gene=aspS],[protein=Aspartyl-tRNA synthetase],[evalue=1.93699E-17]
[locus_tag=SynWH7803_0178],[protein_id=CAK22604.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1617],[protein_id=CAE20076.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.62406E-46]
[locus_tag=SynWH7803_0184],[protein_id=CAK22610.1],[gene=smpB],[protein=SsrA-binding protein],[locus_tag=PMM1616],[protein_id=CAE20075.1],[gene=smpB],[protein=tmRNA binding protein SmpB],[evalue=3.41941E-69]
[locus_tag=SynWH7803_0185],[protein_id=CAK22611.1],[gene=ruvB],[protein=Holliday junction DNA helicase],[locus_tag=PMM1615],[protein_id=CAE20074.1],[gene=ruvB],[protein=Holliday junction DNA helicase RuvB],[evalue=2.44127E-116]
[locus_tag=SynWH7803_0186],[protein_id=CAK22612.1],[gene=None],[protein=Secreted tetratricopeptide repeat domains containing protein],[locus_tag=PMM1614],[protein_id=CAE20073.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.67101E-87]
[locus_tag=SynWH7803_0187],[protein_id=CAK22613.1],[gene=None],[protein=Zinc metallopeptidase M20/M25/M40 family],[locus_tag=PMM1613],[protein_id=CAE20072.1],[gene=None],[protein=Zinc metallopeptidase M20/M25/M40 family],[evalue=4.21995E-151]
[locus_tag=SynWH7803_0190],[protein_id=CAK22616.1],[gene=thiC],[protein=Thiamine biosynthesis protein ThiC],[locus_tag=PMM1611],[protein_id=CAE20070.1],[gene=thiC],[protein=ThiC family],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0192],[protein_id=CAK22618.1],[gene=rfbB],"[protein=dTDP-glucose 4,6-dehydratase (Nucleoside-diphosphate-sugar epimerases)]",[locus_tag=PMM1260],[protein_id=CAE19719.1],[gene=None],[protein=Nucleoside-diphosphate-sugar epimerase],[evalue=1.56483E-141],[locus_tag=PMM1210],[protein_id=CAE19669.1],[gene=None],[protein=Putative nucleotide sugar epimerase],[evalue=4.08352E-28],[locus_tag=PMM1201],[protein_id=CAE19660.1],[gene=None],[protein=Putative CDP-tyvelose-2-epimerase (RfbE)],[evalue=1.88436E-19]
[locus_tag=SynWH7803_0193],[protein_id=CAK22619.1],[gene=None],[protein=Glycosyltransferase of family GT2],[locus_tag=PMM1522],[protein_id=CAE19981.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=1.58442E-24]
[locus_tag=SynWH7803_0195],[protein_id=CAK22621.1],"[gene=tktA, cbbT]",[protein=Transketolase],[locus_tag=PMM1610],[protein_id=CAE20069.1],"[gene=tktA, cbbT]",[protein=Transketolase],[evalue=0.00000E+00],[locus_tag=PMM1235],[protein_id=CAE19694.1],[gene=None],[protein=possible N-terminal fragment of transketolase],[evalue=3.54447E-27]
[locus_tag=SynWH7803_0196],[protein_id=CAK22622.1],[gene=fabF],[protein=3-oxoacyl-[acyl-carrier-protein],[locus_tag=PMM1609],[protein_id=CAE20068.1],[gene=fabF],[protein=3-oxoacyl-[acyl-carrier-protein],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0197],[protein_id=CAK22623.1],[gene=acpP],[protein=Acyl carrier protein],[locus_tag=PMM1608],[protein_id=CAE20067.1],"[gene=acpP,acp]",[protein=acyl carrier protein (ACP)],[evalue=4.89944E-43]
[locus_tag=SynWH7803_0198],[protein_id=CAK22624.1],[gene=psaC],[protein=Photosystem I iron-sulfur center subunit VII PsaC],[locus_tag=PMM1607],[protein_id=CAE20066.1],[gene=psaC],[protein=Photosystem I subunit PsaC],[evalue=1.45151E-57]
[locus_tag=SynWH7803_0199],[protein_id=CAK22625.1],[gene=glmS],[protein=Glucosamine-6-phosphate synthetase],[locus_tag=PMM1606],[protein_id=CAE20065.1],[gene=glmS],[protein=Glutamine--fructose-6-phosphate transaminase (isomerizing)],[evalue=0.00000E+00],[locus_tag=PMM0004],[protein_id=CAE18463.1],[gene=purF],[protein=Glutamine amidotransferase class-II:Phosphoribosyl transferase],[evalue=2.60522E-19]
[locus_tag=SynWH7803_0200],[protein_id=CAK22626.1],[gene=manC],[protein=Mannose-1-phosphate guanylyltransferase],[locus_tag=PMM1196],[protein_id=CAE19655.1],[gene=manC],[protein=GDP-mannose pyrophosphorylase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0201],[protein_id=CAK22627.1],[gene=rimM],"[protein=RimM protein, required for 16S rRNA processing]",[locus_tag=PMM1605],[protein_id=CAE20064.1],[gene=rimM],[protein=possible 16S rRNA processing protein RimM],[evalue=2.04563E-50]
[locus_tag=SynWH7803_0202],[protein_id=CAK22628.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1604],[protein_id=CAE20063.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.04642E-23]
[locus_tag=SynWH7803_0204],[protein_id=CAK22630.1],[gene=rnc],[protein=Ribonuclease III],[locus_tag=PMM1603],[protein_id=CAE20062.1],[gene=rnc],[protein=putative ribonuclease III],[evalue=1.24709E-67]
[locus_tag=SynWH7803_0205],[protein_id=CAK22631.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1602],[protein_id=CAE20061.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.89229E-53]
[locus_tag=SynWH7803_0208],[protein_id=CAK22634.1],[gene=None],[protein=Glycosyltransferase of family GT35; probable glycogen phosphorylase],[locus_tag=PMM1601],[protein_id=CAE20060.1],[gene=None],[protein=phosphorylase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0210],[protein_id=CAK22636.1],[gene=None],[protein=Na+/H+ antiporter],[locus_tag=PMM1600],[protein_id=CAE20059.1],[gene=None],"[protein=putative Na+/H+ antiporter, CPA2 family]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_0212],[protein_id=CAK22638.1],[gene=None],[protein=Alpha/beta hydrolase superfamily],[locus_tag=PMM1599],[protein_id=CAE20058.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.88600E-104],[locus_tag=PMM1628],[protein_id=CAE20087.1],[gene=None],[protein=possible alpha/beta hydrolase superfamily],[evalue=7.14820E-51],[locus_tag=PMM1153],[protein_id=CAE19612.1],[gene=None],[protein=predicted alpha/beta hydrolase superfamily protein],[evalue=8.28040E-30]
[locus_tag=SynWH7803_0213],[protein_id=CAK22639.1],[gene=None],[protein=Galactose mutarotase related enzyme],[locus_tag=PMM1598],[protein_id=CAE20057.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.26990E-70]
[locus_tag=SynWH7803_0215],[protein_id=CAK22641.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1597],[protein_id=CAE20056.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.39141E-112]
[locus_tag=SynWH7803_0217],[protein_id=CAK22643.1],[gene=icd],[protein=Isocitrate dehydrogenase],[locus_tag=PMM1596],[protein_id=CAE20055.1],[gene=icd],[protein=Isocitrate dehydrogenase],[evalue=0.00000E+00],[locus_tag=PMM0786],[protein_id=CAE19245.1],[gene=leuB],[protein=3-isopropylmalate dehydrogenase],[evalue=1.18723E-14]
[locus_tag=SynWH7803_0218],[protein_id=CAK22644.1],[gene=None],[protein=Glycosyltransferase of family GT2],[locus_tag=PMM1200],[protein_id=CAE19659.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=1.18940E-26],[locus_tag=PMM1522],[protein_id=CAE19981.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=1.66464E-22]
[locus_tag=SynWH7803_0220],[protein_id=CAK22646.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1595],[protein_id=CAE20054.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.16900E-46]
[locus_tag=SynWH7803_0221],[protein_id=CAK22647.1],[gene=ho1],[protein=Heme oxygenase],[locus_tag=PMM1594],[protein_id=CAE20053.1],[gene=ho1],[protein=Heme oxygenase],[evalue=2.07549E-116]
[locus_tag=SynWH7803_0223],[protein_id=CAK22649.1],[gene=None],"[protein=Possible ABC-type multidrug transport system, ATPase and permease components]",[locus_tag=PMM1239],[protein_id=CAE19698.1],[gene=hetA],[protein=ABC transporter],[evalue=5.98627E-64],[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=5.76650E-45],[locus_tag=PMM0954],[protein_id=CAE19413.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=1.29521E-33]
[locus_tag=SynWH7803_0227],[protein_id=CAK22653.1],[gene=None],[protein=Glycosyltransferase of family GT4],[locus_tag=PMM0397],[protein_id=CAE18856.1],[gene=None],"[protein=possible Glycosyl transferase, group 1]",[evalue=8.85539E-14]
[locus_tag=SynWH7803_0234],[protein_id=CAK22660.1],[gene=pcnB],[protein=tRNA nucleotidyltransferase/poly(A) polymerase],[locus_tag=PMM0303],[protein_id=CAE18762.1],[gene=None],[protein=tRNA nucleotidyltransferase/poly(A) polymerase],[evalue=6.06335E-79]
[locus_tag=SynWH7803_0240],[protein_id=CAK22666.1],[gene=uvrD],[protein=UvrD/REP helicase],[locus_tag=PMM0304],[protein_id=CAE18763.1],[gene=uvrD],[protein=UvrD/REP helicase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0241],[protein_id=CAK22667.1],[gene=None],[protein=Selenophosphate synthase fused with a FAD/NAD(P)-binding domain],[locus_tag=PMM0302],[protein_id=CAE18761.1],[gene=selD],"[protein=Selenide,water dikinase]",[evalue=2.31792E-175]
[locus_tag=SynWH7803_0242],[protein_id=CAK22668.1],[gene=galE],[protein=UDP-glucose 4-epimerase],[locus_tag=PMM1209],[protein_id=CAE19668.1],[gene=galE],[protein=UDP-glucose-4-epimerase],[evalue=7.20433E-116],[locus_tag=PMM1201],[protein_id=CAE19660.1],[gene=None],[protein=Putative CDP-tyvelose-2-epimerase (RfbE)],[evalue=1.04617E-18],[locus_tag=PMM1219],[protein_id=CAE19678.1],[gene=None],[protein=putative nucleoside-diphosphate sugar epimerase],[evalue=3.58087E-15]
[locus_tag=SynWH7803_0243],[protein_id=CAK22669.1],[gene=hisS],[protein=Histidyl-tRNA synthetase],[locus_tag=PMM0623],[protein_id=CAE19082.1],[gene=hisS],[protein=Histidyl-tRNA synthetase],[evalue=3.74793E-166]
[locus_tag=SynWH7803_0244],[protein_id=CAK22670.1],[gene=ugd],[protein=UDP-glucose 6-dehydrogenase],[locus_tag=PMM1261],[protein_id=CAE19720.1],[gene=ugd],[protein=UDP-glucose 6-dehydrogenase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0245],[protein_id=CAK22671.1],[gene=None],[protein=NAD dependent epimerase/dehydratase],[locus_tag=PMM1210],[protein_id=CAE19669.1],[gene=None],[protein=Putative nucleotide sugar epimerase],[evalue=2.22919E-148],[locus_tag=PMM1209],[protein_id=CAE19668.1],[gene=galE],[protein=UDP-glucose-4-epimerase],[evalue=2.70077E-18],[locus_tag=PMM1201],[protein_id=CAE19660.1],[gene=None],[protein=Putative CDP-tyvelose-2-epimerase (RfbE)],[evalue=1.66182E-13]
[locus_tag=SynWH7803_0246],[protein_id=CAK22672.1],[gene=psbJ],[protein=Photosystem II reaction center J protein],[locus_tag=PMM0300],[protein_id=CAE18759.1],[gene=psbJ],[protein=photosytem II PsbJ protein],[evalue=2.00136E-33]
[locus_tag=SynWH7803_0248],[protein_id=CAK22674.1],[gene=psbF],[protein=Cytochrome b559 beta subunit (PSII reaction center subunit VI)],[locus_tag=PMM0298],[protein_id=CAE18757.1],[gene=psbF],[protein=Cytochrome b559 beta-subunit],[evalue=3.44944E-17]
[locus_tag=SynWH7803_0249],[protein_id=CAK22675.1],[gene=psbE],[protein=Cytochrome b559 alpha subunit (PSII reaction center subunit V)],[locus_tag=PMM0297],[protein_id=CAE18756.1],[gene=psbE],[protein=Cytochrome b559 alpha-subunit],[evalue=1.48635E-50]
[locus_tag=SynWH7803_0250],[protein_id=CAK22676.1],[gene=None],[protein=Uncharacterized protein related to plant photosystem II stability/assembly factor],[locus_tag=PMM0296],[protein_id=CAE18755.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.32578E-133]
[locus_tag=SynWH7803_0251],[protein_id=CAK22677.1],[gene=rub],[protein=Rubredoxin],[locus_tag=PMM0295],[protein_id=CAE18754.1],[gene=rub],[protein=probable rubredoxin],[evalue=1.67467E-47]
[locus_tag=SynWH7803_0252],[protein_id=CAK22678.1],[gene=ndhC],[protein=NAD(P)H-quinone oxidoreductase chain 3],[locus_tag=PMM0294],[protein_id=CAE18753.1],[gene=ndhC],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 3)],[evalue=1.50564E-73]
[locus_tag=SynWH7803_0253],[protein_id=CAK22679.1],"[gene=ndhK, nukC]",[protein=NAD(P)H-quinone oxidoreductase subunit K],[locus_tag=PMM0293],[protein_id=CAE18752.1],[gene=ndhK],[protein=putative respiratory-chain NADH dehydrogenase subunit],[evalue=2.41057E-132]
[locus_tag=SynWH7803_0254],[protein_id=CAK22680.1],[gene=ndhJ],[protein=NAD(P)H-quinone oxidoreductase subunit J],[locus_tag=PMM0292],[protein_id=CAE18751.1],[gene=ndhJ],[protein=putative respiratory-chain NADH dehydrogenase subunit],[evalue=5.62986E-73]
[locus_tag=SynWH7803_0255],[protein_id=CAK22681.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0291],[protein_id=CAE18750.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0256],[protein_id=CAK22682.1],[gene=None],"[protein=ABC-type transport system, ATPase component]",[locus_tag=PMM0290],[protein_id=CAE18749.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=1.30973E-123],[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=4.07530E-30],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=9.63196E-28]
[locus_tag=SynWH7803_0257],[protein_id=CAK22683.1],[gene=None],"[protein=ABC-type transport system, periplasmic component]",[locus_tag=PMM0289],[protein_id=CAE18748.1],[gene=None],[protein=possible ABC transporter],[evalue=1.77570E-73]
[locus_tag=SynWH7803_0258],[protein_id=CAK22684.1],[gene=chlD],[protein=Protoporphyrin IX Mg-chelatase subunit ChlD],[locus_tag=PMM0288],[protein_id=CAE18747.1],[gene=chlD],"[protein=Protoporphyrin IX Magnesium chelatase, ChlD subunit]",[evalue=0.00000E+00],[locus_tag=PMM1055],[protein_id=CAE19514.1],[gene=chlI],"[protein=Protoporphyrin IX Magnesium chelatase, ChlI subunit]",[evalue=7.53735E-63]
[locus_tag=SynWH7803_0259],[protein_id=CAK22685.1],[gene=folK],[protein=2-amino-4-hydroxy-6-hydroxymethyldihydropteridinepyrophosphokinase],[locus_tag=PMM0287],[protein_id=CAE18746.1],[gene=folK],[protein=possible 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase],[evalue=1.47917E-24]
[locus_tag=SynWH7803_0260],[protein_id=CAK22686.1],[gene=None],"[protein=ABC-type transport system, ATPase and permease components]",[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=1.78501E-15],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=5.28642E-11]
[locus_tag=SynWH7803_0261],[protein_id=CAK22687.1],[gene=None],[protein=NUDIX hydrolase],[locus_tag=PMM0286],[protein_id=CAE18745.1],[gene=None],[protein=NUDIX hydrolase],[evalue=1.56548E-75]
[locus_tag=SynWH7803_0262],[protein_id=CAK22688.1],[gene=phr],[protein=Deoxyribodipyrimidine photolyase],[locus_tag=PMM0285],[protein_id=CAE18744.1],[gene=phr],[protein=putative DNA photolyase],[evalue=1.36672E-171]
[locus_tag=SynWH7803_0263],[protein_id=CAK22689.1],[gene=degT],[protein=Pleiotropic regulatory protein],[locus_tag=PMM0284],[protein_id=CAE18743.1],[gene=degT],[protein=putative pleiotropic regulatory protein],[evalue=4.44289E-152],[locus_tag=PMM1258],[protein_id=CAE19717.1],[gene=None],[protein=pyridoxal-phosphate-dependent aminotransferase],[evalue=3.12693E-71],[locus_tag=PMM1259],[protein_id=CAE19718.1],[gene=None],[protein=pyridoxal-phosphate-dependent aminotransferase],[evalue=1.00019E-67]
[locus_tag=SynWH7803_0264],[protein_id=CAK22690.1],[gene=None],[protein=Possible thioredoxin],[locus_tag=PMM0283],[protein_id=CAE18742.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.41473E-63]
[locus_tag=SynWH7803_0267],[protein_id=CAK22693.1],[gene=None],[protein=FAD binding domain of DNA photolyase],[locus_tag=PMM1360],[protein_id=CAE19819.1],[gene=None],[protein=similar to DNA photolyase],[evalue=5.11316E-22],[locus_tag=PMM0285],[protein_id=CAE18744.1],[gene=phr],[protein=putative DNA photolyase],[evalue=2.99832E-16]
[locus_tag=SynWH7803_0268],[protein_id=CAK22694.1],[gene=fabI],[protein=Enoyl-[acyl-carrier-protein],[locus_tag=PMM0282],[protein_id=CAE18741.1],[gene=fabI],[protein=enoyl-[acyl-carrier-protein],[evalue=8.45555E-173]
[locus_tag=SynWH7803_0269],[protein_id=CAK22695.1],[gene=hisB],[protein=Imidazoleglycerol-phosphate dehydratase],[locus_tag=PMM0281],[protein_id=CAE18740.1],[gene=hisB],[protein=Imidazoleglycerol-phosphate dehydratase],[evalue=4.14395E-108]
[locus_tag=SynWH7803_0270],[protein_id=CAK22696.1],[gene=None],"[protein=Lignostilbene-alpha, beta-dioxygenase]",[locus_tag=PMM0280],[protein_id=CAE18739.1],[gene=None],[protein=Retinal pigment epithelial membrane protein],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0277],[protein_id=CAK22703.1],[gene=None],[protein=HAM1 NTPase family protein],[locus_tag=PMM0279],[protein_id=CAE18738.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.40613E-60],[locus_tag=PMM0548],[protein_id=CAE19007.1],[gene=None],[protein=HAM1 family protein],[evalue=6.96639E-43]
[locus_tag=SynWH7803_0278],[protein_id=CAK22704.1],[gene=None],[protein=Phosphoglucomutase/phosphomannomutase family],[locus_tag=PMM0278],[protein_id=CAE18737.1],[gene=None],[protein=Phosphotransferase superclass],[evalue=2.75334E-163],[locus_tag=PMM0241],[protein_id=CAE18700.1],[gene=None],[protein=Phosphotransferase superclass],[evalue=3.07354E-26],[locus_tag=PMM0076],[protein_id=CAE18535.1],[gene=pgm],[protein=Phosphoglucomutase],[evalue=3.29122E-19]
[locus_tag=SynWH7803_0279],[protein_id=CAK22705.1],[gene=None],[protein=Predicted nuclease (RecB family)],[locus_tag=PMM0277],[protein_id=CAE18736.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.73841E-112]
[locus_tag=SynWH7803_0280],[protein_id=CAK22706.1],[gene=None],[protein=Predicted aminomethyltransferase related to glycine cleavage T-protein (GcvT)],[locus_tag=PMM0276],[protein_id=CAE18735.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.99629E-41]
[locus_tag=SynWH7803_0281],[protein_id=CAK22707.1],[gene=pyrE],[protein=Orotate phosphoribosyltransferase],[locus_tag=PMM0275],[protein_id=CAE18734.1],[gene=pyrE],[protein=Orotate phosphoribosyltransferase],[evalue=6.22613E-64]
[locus_tag=SynWH7803_0283],[protein_id=CAK22709.1],[gene=None],"[protein=Uncharacterized conserved membrane protein, possibly Mg2+ andCo2+ efflux transporter]",[locus_tag=PMM0274],[protein_id=CAE18733.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.03566E-152]
[locus_tag=SynWH7803_0284],[protein_id=CAK22710.1],[gene=None],[protein=Possible oxidoreductase],[locus_tag=PMM0273],[protein_id=CAE18732.1],[gene=None],[protein=probable oxidoreductase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0287],[protein_id=CAK22713.1],[gene=psbK],[protein=Photosystem II protein PsbK],[locus_tag=PMM0272],[protein_id=CAE18731.1],[gene=None],[protein=Photosystem II protein PsbK],[evalue=1.63193E-17]
