[locus_tag=SynWH8103_00001],[protein_id=CRY90759.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.93831E-159]
[locus_tag=SynWH8103_00140],[protein_id=CRY90893.1],[gene=smpB],[protein=ssrA-binding protein],[locus_tag=PMM1616],[protein_id=CAE20075.1],[gene=smpB],[protein=tmRNA binding protein SmpB],[evalue=2.19438E-70]
[locus_tag=SynWH8103_00141],[protein_id=CRY90894.1],[gene=ruvB],[protein=holliday junction ATP-dependent DNA helicase RuvB],[locus_tag=PMM1615],[protein_id=CAE20074.1],[gene=ruvB],[protein=Holliday junction DNA helicase RuvB],[evalue=1.90163E-116],[locus_tag=PMM0077],[protein_id=CAE18536.1],[gene=yrvN],"[protein=putative ATPase, AAA family]",[evalue=8.08313E-12]
[locus_tag=SynWH8103_00142],[protein_id=CRY90895.1],[gene=None],[protein=TPR repeat family protein],[locus_tag=PMM1614],[protein_id=CAE20073.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.77842E-92]
[locus_tag=SynWH8103_00143],[protein_id=CRY90896.1],[gene=None],[protein=amidohydrolase family protein],[locus_tag=PMM1613],[protein_id=CAE20072.1],[gene=None],[protein=Zinc metallopeptidase M20/M25/M40 family],[evalue=1.22656E-153]
[locus_tag=SynWH8103_00144],[protein_id=CRY90897.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1612],[protein_id=CAE20071.1],[gene=None],[protein=conserved hypothetical],[evalue=8.62393E-08]
[locus_tag=SynWH8103_00146],[protein_id=CRY90899.1],[gene=thiC],[protein=thiamine biosynthesis protein ThiC],[locus_tag=PMM1611],[protein_id=CAE20070.1],[gene=thiC],[protein=ThiC family],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00147],[protein_id=CRY90900.1],[gene=tktA],[protein=Transketolase],[locus_tag=PMM1610],[protein_id=CAE20069.1],"[gene=tktA, cbbT]",[protein=Transketolase],[evalue=5.15084E-40]
[locus_tag=SynWH8103_00149],[protein_id=CRY90902.1],[gene=None],"[protein=beta-glycosyltransferase, family 2]",[locus_tag=PMM1522],[protein_id=CAE19981.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=8.43523E-25],[locus_tag=PMM1200],[protein_id=CAE19659.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=2.98926E-11]
[locus_tag=SynWH8103_00154],[protein_id=CRY90907.1],[gene=wecE],[protein=perosamine synthetase],[locus_tag=PMM1258],[protein_id=CAE19717.1],[gene=None],[protein=pyridoxal-phosphate-dependent aminotransferase],[evalue=3.06419E-45],[locus_tag=PMM0284],[protein_id=CAE18743.1],[gene=degT],[protein=putative pleiotropic regulatory protein],[evalue=3.55414E-35],[locus_tag=PMM1259],[protein_id=CAE19718.1],[gene=None],[protein=pyridoxal-phosphate-dependent aminotransferase],[evalue=2.74197E-26]
[locus_tag=SynWH8103_00157],[protein_id=CRY90910.1],[gene=None],[protein=thiC family protein],[locus_tag=PMM1611],[protein_id=CAE20070.1],[gene=thiC],[protein=ThiC family],[evalue=5.19145E-110]
[locus_tag=SynWH8103_00158],[protein_id=CRY90911.1],[gene=tktA],[protein=Transketolase],[locus_tag=PMM1610],[protein_id=CAE20069.1],"[gene=tktA, cbbT]",[protein=Transketolase],[evalue=0.00000E+00],[locus_tag=PMM1235],[protein_id=CAE19694.1],[gene=None],[protein=possible N-terminal fragment of transketolase],[evalue=3.12055E-25],[locus_tag=PMM1236],[protein_id=CAE19695.1],[gene=None],[protein=unknown],[evalue=1.08035E-07]
[locus_tag=SynWH8103_00159],[protein_id=CRY90912.1],[gene=fabF],[protein=beta-ketoacyl-acyl-carrier-protein synthase II],[locus_tag=PMM1609],[protein_id=CAE20068.1],[gene=fabF],[protein=3-oxoacyl-[acyl-carrier-protein],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00160],[protein_id=CRY90913.1],[gene=acpP],[protein=acyl-carrier protein],[locus_tag=PMM1608],[protein_id=CAE20067.1],"[gene=acpP,acp]",[protein=acyl carrier protein (ACP)],[evalue=4.89944E-43]
[locus_tag=SynWH8103_00161],[protein_id=CRY90914.1],[gene=psaC],[protein=Photosystem I iron-sulfur center subunit VII PsaC],[locus_tag=PMM1607],[protein_id=CAE20066.1],[gene=psaC],[protein=Photosystem I subunit PsaC],[evalue=1.40446E-57]
[locus_tag=SynWH8103_00162],[protein_id=CRY90915.1],[gene=glmS],[protein=Glucosamine-6-phosphate synthase],[locus_tag=PMM1606],[protein_id=CAE20065.1],[gene=glmS],[protein=Glutamine--fructose-6-phosphate transaminase (isomerizing)],[evalue=0.00000E+00],[locus_tag=PMM0004],[protein_id=CAE18463.1],[gene=purF],[protein=Glutamine amidotransferase class-II:Phosphoribosyl transferase],[evalue=5.51382E-12]
[locus_tag=SynWH8103_00165],[protein_id=CRY90917.1],[gene=None],[protein=mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase],[locus_tag=PMM1196],[protein_id=CAE19655.1],[gene=manC],[protein=GDP-mannose pyrophosphorylase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00167],[protein_id=CRY90918.1],[gene=rimM],[protein=16S rRNA processing protein RimM],[locus_tag=PMM1605],[protein_id=CAE20064.1],[gene=rimM],[protein=possible 16S rRNA processing protein RimM],[evalue=9.82341E-47]
[locus_tag=SynWH8103_00168],[protein_id=CRY90919.1],[gene=ndhS],[protein=NADH dehydrogenase I subunit NdhS],[locus_tag=PMM1604],[protein_id=CAE20063.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.79923E-25]
[locus_tag=SynWH8103_00169],[protein_id=CRY90921.1],[gene=rnc],[protein=Ribonuclease III],[locus_tag=PMM1603],[protein_id=CAE20062.1],[gene=rnc],[protein=putative ribonuclease III],[evalue=1.56277E-62]
[locus_tag=SynWH8103_00172],[protein_id=CRY90922.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1602],[protein_id=CAE20061.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.20196E-54]
[locus_tag=SynWH8103_00175],[protein_id=CRY90925.1],[gene=glgP],[protein=glycogen phosphorylase],[locus_tag=PMM1601],[protein_id=CAE20060.1],[gene=None],[protein=phosphorylase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00178],[protein_id=CRY90927.1],[gene=None],"[protein=putative Na+/H+ antiporter, CPA2 family]",[locus_tag=PMM1600],[protein_id=CAE20059.1],[gene=None],"[protein=putative Na+/H+ antiporter, CPA2 family]",[evalue=0.00000E+00]
[locus_tag=SynWH8103_00179],[protein_id=CRY90929.1],[gene=None],[protein=alpha/beta hydrolase fold family protein],[locus_tag=PMM1599],[protein_id=CAE20058.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.82831E-109],[locus_tag=PMM1628],[protein_id=CAE20087.1],[gene=None],[protein=possible alpha/beta hydrolase superfamily],[evalue=1.36467E-50],[locus_tag=PMM1153],[protein_id=CAE19612.1],[gene=None],[protein=predicted alpha/beta hydrolase superfamily protein],[evalue=3.19623E-28]
[locus_tag=SynWH8103_00181],[protein_id=CRY90930.1],[gene=None],[protein=aldose 1-epimerase family protein],[locus_tag=PMM1598],[protein_id=CAE20057.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.76886E-72]
[locus_tag=SynWH8103_00185],[protein_id=CRY90935.1],[gene=PsiP1],[protein=phosphate inducible potein 1],[locus_tag=PMM1416],[protein_id=CAE19875.1],[gene=None],[protein=conserved hypothetical],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00186],[protein_id=CRY90936.1],[gene=icd],[protein=Isocitrate dehydrogenase],[locus_tag=PMM1596],[protein_id=CAE20055.1],[gene=icd],[protein=Isocitrate dehydrogenase],[evalue=0.00000E+00],[locus_tag=PMM0786],[protein_id=CAE19245.1],[gene=leuB],[protein=3-isopropylmalate dehydrogenase],[evalue=3.04162E-15]
[locus_tag=SynWH8103_00188],[protein_id=CRY90937.1],[gene=None],"[protein=beta-glycosyltransferase, family 2]",[locus_tag=PMM1200],[protein_id=CAE19659.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=1.84087E-25],[locus_tag=PMM1522],[protein_id=CAE19981.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=3.78692E-25]
[locus_tag=SynWH8103_00190],[protein_id=CRY90940.1],[gene=None],[protein=Conserved hypothetical gene],[locus_tag=PMM1595],[protein_id=CAE20054.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.11299E-42]
[locus_tag=SynWH8103_00191],[protein_id=CRY90941.1],[gene=ho1],[protein=heme oxygenase],[locus_tag=PMM1594],[protein_id=CAE20053.1],[gene=ho1],[protein=Heme oxygenase],[evalue=2.33683E-119]
[locus_tag=SynWH8103_00193],[protein_id=CRY90943.1],[gene=None],[protein=ABC transporter family protein],[locus_tag=PMM1239],[protein_id=CAE19698.1],[gene=hetA],[protein=ABC transporter],[evalue=2.81723E-56],[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=5.83516E-45],[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=2.00483E-34]
[locus_tag=SynWH8103_00198],[protein_id=CRY90948.1],[gene=None],"[protein=possible alpha-glycosyltransferase, family 4]",[locus_tag=PMM0397],[protein_id=CAE18856.1],[gene=None],"[protein=possible Glycosyl transferase, group 1]",[evalue=2.72015E-15],[locus_tag=PMM0397],[protein_id=CAE18856.1],[gene=None],"[protein=possible Glycosyl transferase, group 1]",[evalue=1.29602E-07],[locus_tag=PMM1711],[protein_id=CAE20170.1],[gene=sps],[protein=Sucrose phosphate synthase],[evalue=1.53852E-07]
[locus_tag=SynWH8103_00202],[protein_id=CRY90952.1],[gene=uvrD],[protein=DNA-dependent ATPase I and helicase II],[locus_tag=PMM0304],[protein_id=CAE18763.1],[gene=uvrD],[protein=UvrD/REP helicase],[evalue=0.00000E+00],[locus_tag=PMM1103],[protein_id=CAE19562.1],[gene=recB],[protein=possible UvrD/REP helicase subunit B],[evalue=2.51520E-09]
[locus_tag=SynWH8103_00209],[protein_id=CRY90959.1],[gene=pcnB],[protein=tRNA nucleotidyltransferase/poly(A) polymerase],[locus_tag=PMM0303],[protein_id=CAE18762.1],[gene=None],[protein=tRNA nucleotidyltransferase/poly(A) polymerase],[evalue=7.92033E-81],[locus_tag=PMM0141],[protein_id=CAE18600.1],[gene=None],[protein=Poly A polymerase family],[evalue=3.36341E-08]
[locus_tag=SynWH8103_00212],[protein_id=CRY90962.1],[gene=galE],[protein=UDP-glucose 4-epimerase],[locus_tag=PMM1209],[protein_id=CAE19668.1],[gene=galE],[protein=UDP-glucose-4-epimerase],[evalue=9.74780E-106],[locus_tag=PMM1210],[protein_id=CAE19669.1],[gene=None],[protein=Putative nucleotide sugar epimerase],[evalue=6.35353E-21],[locus_tag=PMM1201],[protein_id=CAE19660.1],[gene=None],[protein=Putative CDP-tyvelose-2-epimerase (RfbE)],[evalue=6.98395E-15]
[locus_tag=SynWH8103_00214],[protein_id=CRY90964.1],[gene=None],"[protein=type I secretion system ABC transporter, HlyB family]",[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=5.12203E-70],[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=1.65923E-66],[locus_tag=PMM0827],[protein_id=CAE19286.1],[gene=None],"[protein=ABC transporter, possibly multidrug efflux]",[evalue=7.65874E-65]
[locus_tag=SynWH8103_00215],[protein_id=CRY90965.1],[gene=None],[protein=hlyD secretion family protein],[locus_tag=PMM0748],[protein_id=CAE19207.1],[gene=None],[protein=possible ABC transporter component],[evalue=1.72901E-06]
[locus_tag=SynWH8103_00216],[protein_id=CRY90966.1],[gene=None],[protein=glycosyl transferases group 1 family protein],[locus_tag=PMM1666],[protein_id=CAE20125.1],[gene=sqdX],[protein=SqdX],[evalue=2.15173E-09]
[locus_tag=SynWH8103_00218],[protein_id=CRY90968.1],[gene=hisS],[protein=histidine--tRNA ligase],[locus_tag=PMM0623],[protein_id=CAE19082.1],[gene=hisS],[protein=Histidyl-tRNA synthetase],[evalue=1.17714E-167]
[locus_tag=SynWH8103_00219],[protein_id=CRY90969.1],[gene=None],[protein=NAD dependent epimerase/dehydratase family protein],[locus_tag=PMM1260],[protein_id=CAE19719.1],[gene=None],[protein=Nucleoside-diphosphate-sugar epimerase],[evalue=1.53742E-134],[locus_tag=PMM1210],[protein_id=CAE19669.1],[gene=None],[protein=Putative nucleotide sugar epimerase],[evalue=8.53908E-22],[locus_tag=PMM1219],[protein_id=CAE19678.1],[gene=None],[protein=putative nucleoside-diphosphate sugar epimerase],[evalue=2.32382E-14]
[locus_tag=SynWH8103_00220],[protein_id=CRY90970.1],[gene=ugd],[protein=UDP-glucose 6-dehydrogenase],[locus_tag=PMM1261],[protein_id=CAE19720.1],[gene=ugd],[protein=UDP-glucose 6-dehydrogenase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00221],[protein_id=CRY90971.1],[gene=None],[protein=NAD dependent epimerase/dehydratase],[locus_tag=PMM1210],[protein_id=CAE19669.1],[gene=None],[protein=Putative nucleotide sugar epimerase],[evalue=1.16099E-146],[locus_tag=PMM1260],[protein_id=CAE19719.1],[gene=None],[protein=Nucleoside-diphosphate-sugar epimerase],[evalue=7.91861E-16],[locus_tag=PMM1209],[protein_id=CAE19668.1],[gene=galE],[protein=UDP-glucose-4-epimerase],[evalue=1.91046E-15]
[locus_tag=SynWH8103_00222],[protein_id=CRY90972.1],[gene=psbJ],[protein=photosystem II reaction center protein PsbJ],[locus_tag=PMM0300],[protein_id=CAE18759.1],[gene=psbJ],[protein=photosytem II PsbJ protein],[evalue=6.57499E-32]
[locus_tag=SynWH8103_00223],[protein_id=CRY90973.1],[gene=psbL],[protein=photosystem II reaction center protein PsbL],[locus_tag=PMM0299],[protein_id=CAE18758.1],[gene=psbL],[protein=photosystem II PsbL protein],[evalue=1.09997E-07]
[locus_tag=SynWH8103_00224],[protein_id=CRY90974.1],[gene=psbF1],"[protein=cytochrome b559, beta subunit]",[locus_tag=PMM0298],[protein_id=CAE18757.1],[gene=psbF],[protein=Cytochrome b559 beta-subunit],[evalue=2.59234E-17]
[locus_tag=SynWH8103_00225],[protein_id=CRY90975.1],[gene=psbE],"[protein=cytochrome b559, alpha subunit]",[locus_tag=PMM0297],[protein_id=CAE18756.1],[gene=psbE],[protein=Cytochrome b559 alpha-subunit],[evalue=5.84527E-51]
[locus_tag=SynWH8103_00226],[protein_id=CRY90976.1],[gene=ycf48],[protein=photosystem II stability/assembly factor],[locus_tag=PMM0296],[protein_id=CAE18755.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.61583E-135]
[locus_tag=SynWH8103_00227],[protein_id=CRY90977.1],[gene=rub/hoxR],[protein=Rubredoxin],[locus_tag=PMM0295],[protein_id=CAE18754.1],[gene=rub],[protein=probable rubredoxin],[evalue=8.07076E-44]
[locus_tag=SynWH8103_00228],[protein_id=CRY90978.1],[gene=ndhC],[protein=NADH dehydrogenase I subunit NdhC (chain 3 or alpha)],[locus_tag=PMM0294],[protein_id=CAE18753.1],[gene=ndhC],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 3)],[evalue=9.18903E-74]
[locus_tag=SynWH8103_00229],[protein_id=CRY90979.1],[gene=ndhK],[protein=NADH dehydrogenase I subunit NdhK (beta chain)],[locus_tag=PMM0293],[protein_id=CAE18752.1],[gene=ndhK],[protein=putative respiratory-chain NADH dehydrogenase subunit],[evalue=1.49801E-137]
[locus_tag=SynWH8103_00231],[protein_id=CRY90980.1],[gene=ndhJ],[protein=NADH dehydrogenase I subunit NdhJ],[locus_tag=PMM0292],[protein_id=CAE18751.1],[gene=ndhJ],[protein=putative respiratory-chain NADH dehydrogenase subunit],[evalue=9.50560E-68]
[locus_tag=SynWH8103_00230],[protein_id=CRY90981.1],[gene=None],[protein=conserved hypothetical family protein],[locus_tag=PMM0291],[protein_id=CAE18750.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00232],[protein_id=CRY90982.1],[gene=None],[protein=ABC transporter family protein],[locus_tag=PMM0290],[protein_id=CAE18749.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=1.15817E-120],[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=2.66330E-29],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=3.03640E-26]
[locus_tag=SynWH8103_00233],[protein_id=CRY90983.1],[gene=None],"[protein=ABC-type transport system, periplasmic component]",[locus_tag=PMM0289],[protein_id=CAE18748.1],[gene=None],[protein=possible ABC transporter],[evalue=4.47950E-68]
[locus_tag=SynWH8103_00234],[protein_id=CRY90984.1],[gene=chlD],"[protein=protoporphyrin IX Mg-chelatase, subunit ChlD]",[locus_tag=PMM0288],[protein_id=CAE18747.1],[gene=chlD],"[protein=Protoporphyrin IX Magnesium chelatase, ChlD subunit]",[evalue=0.00000E+00],[locus_tag=PMM1055],[protein_id=CAE19514.1],[gene=chlI],"[protein=Protoporphyrin IX Magnesium chelatase, ChlI subunit]",[evalue=6.89620E-63]
[locus_tag=SynWH8103_00237],[protein_id=CRY90987.1],[gene=None],"[protein=putative ABC transporter, ATP binding and membrane components]",[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=1.52086E-17],[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=1.97877E-14],[locus_tag=PMM0666],[protein_id=CAE19125.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[evalue=8.47583E-12]
[locus_tag=SynWH8103_00238],[protein_id=CRY90988.1],[gene=nudE],"[protein=possible ADP-ribose diphosphatase, NUDIX hydrolase superfamily]",[locus_tag=PMM0286],[protein_id=CAE18745.1],[gene=None],[protein=NUDIX hydrolase],[evalue=5.61355E-72]
[locus_tag=SynWH8103_00240],[protein_id=CRY90989.1],[gene=phrA],[protein=deoxyribodipyrimidine photolyase (DNA photolyase) (photoreactivating enzyme)],[locus_tag=PMM0285],[protein_id=CAE18744.1],[gene=phr],[protein=putative DNA photolyase],[evalue=6.76494E-179],[locus_tag=PMM1360],[protein_id=CAE19819.1],[gene=None],[protein=similar to DNA photolyase],[evalue=9.93932E-07]
[locus_tag=SynWH8103_00239],[protein_id=CRY90990.1],[gene=degT],[protein=putative pleiotropic regulatory protein],[locus_tag=PMM0284],[protein_id=CAE18743.1],[gene=degT],[protein=putative pleiotropic regulatory protein],[evalue=5.42862E-151],[locus_tag=PMM1258],[protein_id=CAE19717.1],[gene=None],[protein=pyridoxal-phosphate-dependent aminotransferase],[evalue=2.84353E-69],[locus_tag=PMM1259],[protein_id=CAE19718.1],[gene=None],[protein=pyridoxal-phosphate-dependent aminotransferase],[evalue=4.58145E-67]
[locus_tag=SynWH8103_00241],[protein_id=CRY90991.1],[gene=None],[protein=Possible thioredoxin],[locus_tag=PMM0283],[protein_id=CAE18742.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.14669E-69]
[locus_tag=SynWH8103_00244],[protein_id=CRY90994.1],[gene=None],[protein=Uncharacterized DNA photolyase FAD binding domain-containing protein],[locus_tag=PMM1360],[protein_id=CAE19819.1],[gene=None],[protein=similar to DNA photolyase],[evalue=1.22121E-23],[locus_tag=PMM0285],[protein_id=CAE18744.1],[gene=phr],[protein=putative DNA photolyase],[evalue=4.36146E-15]
[locus_tag=SynWH8103_00245],[protein_id=CRY90995.1],[gene=fabI],[protein=Enoyl-[acyl-carrier-protein],[locus_tag=PMM0282],[protein_id=CAE18741.1],[gene=fabI],[protein=enoyl-[acyl-carrier-protein],[evalue=5.64291E-166]
[locus_tag=SynWH8103_00246],[protein_id=CRY90996.1],[gene=hisB],[protein=imidazoleglycerol-phosphate dehydratase family protein],[locus_tag=PMM0281],[protein_id=CAE18740.1],[gene=hisB],[protein=Imidazoleglycerol-phosphate dehydratase],[evalue=5.34571E-110]
[locus_tag=SynWH8103_00247],[protein_id=CRY90997.1],[gene=None],"[protein=apocarotenoid-15,15'-oxygenase]",[locus_tag=PMM0280],[protein_id=CAE18739.1],[gene=None],[protein=Retinal pigment epithelial membrane protein],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00253],[protein_id=CRY91003.1],[gene=rdgB],"[protein=non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family]",[locus_tag=PMM0279],[protein_id=CAE18738.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.97620E-58],[locus_tag=PMM0548],[protein_id=CAE19007.1],[gene=None],[protein=HAM1 family protein],[evalue=5.23468E-39]
[locus_tag=SynWH8103_00254],[protein_id=CRY91004.1],[gene=None],"[protein=phosphoglucomutase/phosphomannomutase, C-terminal domain protein]",[locus_tag=PMM0278],[protein_id=CAE18737.1],[gene=None],[protein=Phosphotransferase superclass],[evalue=1.04296E-170],[locus_tag=PMM0241],[protein_id=CAE18700.1],[gene=None],[protein=Phosphotransferase superclass],[evalue=1.83579E-21],[locus_tag=PMM0076],[protein_id=CAE18535.1],[gene=pgm],[protein=Phosphoglucomutase],[evalue=1.88950E-15]
