[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=5.02794E-142]
[locus_tag=PMM0100],[protein_id=CAE18559.1],[gene=nadB],[protein=L-aspartate oxidase],[locus_tag=Syncc8109_2430],[protein_id=AHF64741.1],[gene=nadB],[protein=L-aspartate oxidase],[evalue=0.00000E+00]
[locus_tag=PMM0101],[protein_id=CAE18560.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2431],[protein_id=AHF64742.1],[gene=None],[protein=Thioredoxin domain 2],[evalue=3.65279E-100],[locus_tag=Syncc8109_1211],[protein_id=AHF63581.1],[gene=None],[protein=hypothetical protein],[evalue=3.41500E-15],[locus_tag=Syncc8109_0557],[protein_id=AHF62944.1],[gene=None],[protein=hypothetical protein],[evalue=5.77217E-12]
[locus_tag=PMM0102],[protein_id=CAE18561.1],[gene=None],[protein=possible Fe-S oxidoreductase],[locus_tag=Syncc8109_2432],[protein_id=AHF64743.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00],[locus_tag=Syncc8109_1876],[protein_id=AHF64225.1],[gene=miaB],[protein=Protein of unknown function UPF0004],[evalue=1.30634E-53]
[locus_tag=PMM0103],[protein_id=CAE18562.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2439],[protein_id=AHF64748.1],[gene=None],[protein=hypothetical protein],[evalue=2.07538E-35]
[locus_tag=PMM0104],[protein_id=CAE18563.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2440],[protein_id=AHF64749.1],[gene=None],[protein=hypothetical protein],[evalue=2.38877E-147]
[locus_tag=PMM0105],[protein_id=CAE18564.1],[gene=ribG],[protein=RibD/ribG C-terminal domain],[locus_tag=Syncc8109_2441],[protein_id=AHF64750.1],[gene=None],[protein=putative riboflavin-specific deaminase],[evalue=6.04409E-50]
[locus_tag=PMM0106],[protein_id=CAE18565.1],[gene=None],[protein=6-pyruvoyl tetrahydropterin synthase],[locus_tag=Syncc8109_2442],[protein_id=AHF64751.1],[gene=None],[protein=6-pyruvoyltetrahydropterin synthase],[evalue=1.69732E-166]
[locus_tag=PMM0107],[protein_id=CAE18566.1],[gene=aroK],[protein=Shikimate kinase],[locus_tag=Syncc8109_2443],[protein_id=AHF64752.1],[gene=aroK],[protein=Shikimate kinase],[evalue=2.21367E-51]
[locus_tag=PMM0108],[protein_id=CAE18567.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2444],[protein_id=AHF64753.1],[gene=None],[protein=hypothetical protein],[evalue=2.22529E-18]
[locus_tag=PMM0109],[protein_id=CAE18568.1],[gene=None],[protein=possible POLO box duplicated region.],[locus_tag=Syncc8109_2445],[protein_id=AHF64754.1],[gene=None],[protein=hypothetical protein],[evalue=9.20208E-45]
[locus_tag=PMM0110],[protein_id=CAE18569.1],[gene=None],[protein=putative glutathione S-transferase],[locus_tag=Syncc8109_2446],[protein_id=AHF64755.1],[gene=None],[protein=putative glutathione S-transferase],[evalue=8.26599E-78]
[locus_tag=PMM0112],[protein_id=CAE18571.1],[gene=rbfA],[protein=Ribosome-binding factor A],[locus_tag=Syncc8109_2454],[protein_id=AHF64762.1],[gene=None],[protein=ribosome-binding factor A],[evalue=1.22251E-29]
[locus_tag=PMM0113],[protein_id=CAE18572.1],[gene=hemD],[protein=putative uroporphyrinogen III synthase],[locus_tag=Syncc8109_2457],[protein_id=AHF64765.1],[gene=hemD],[protein=Uroporphyrinogen-III synthase],[evalue=2.68911E-96]
[locus_tag=PMM0114],[protein_id=CAE18573.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2459],[protein_id=AHF64767.1],[gene=None],[protein=hypothetical protein],[evalue=1.11140E-60]
[locus_tag=PMM0115],[protein_id=CAE18574.1],[gene=crtQ],[protein=zeta-carotene desaturase],[locus_tag=Syncc8109_2460],[protein_id=AHF64768.1],[gene=crtQ],"[protein=Carotene 7,8-desaturase]",[evalue=0.00000E+00],[locus_tag=Syncc8109_2504],[protein_id=AHF64811.1],[gene=crtD],"[protein=Carotene 7,8-desaturase]",[evalue=7.26626E-82]
[locus_tag=PMM0116],[protein_id=CAE18575.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2461],[protein_id=AHF64769.1],[gene=None],[protein=HesB/YadR/YfhF],[evalue=3.84782E-58]
[locus_tag=PMM0117],[protein_id=CAE18576.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2462],[protein_id=AHF64770.1],[gene=None],[protein=hypothetical protein],[evalue=8.18498E-49]
[locus_tag=PMM0118],[protein_id=CAE18577.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2464],[protein_id=AHF64772.1],[gene=None],[protein=hypothetical protein],[evalue=6.74686E-107]
[locus_tag=PMM0119],[protein_id=CAE18578.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2465],[protein_id=AHF64773.1],[gene=None],[protein=hypothetical protein],[evalue=7.93595E-14]
[locus_tag=PMM0120],[protein_id=CAE18579.1],[gene=None],[protein=putative cell division inhibitor],[locus_tag=Syncc8109_2466],[protein_id=AHF64774.1],[gene=None],[protein=hypothetical protein],[evalue=4.64676E-118]
[locus_tag=PMM0121],[protein_id=CAE18580.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2467],[protein_id=AHF64775.1],[gene=None],[protein=hypothetical protein],[evalue=3.33360E-26]
[locus_tag=PMM0122],[protein_id=CAE18581.1],[gene=None],[protein=possible heat shock protein DnaJ],[locus_tag=Syncc8109_2469],[protein_id=AHF64777.1],[gene=None],[protein=Heat shock protein DnaJ-like protein],[evalue=3.67515E-68]
[locus_tag=PMM0123],[protein_id=CAE18582.1],[gene=cysK2],[protein=O-acetylserine (thiol)-lyase A],[locus_tag=Syncc8109_2470],[protein_id=AHF64778.1],[gene=cysK],[protein=cysteine synthase A],[evalue=3.91953E-143],[locus_tag=Syncc8109_2099],[protein_id=AHF64437.1],[gene=cysK],[protein=cysteine synthase A],[evalue=2.03048E-82]
[locus_tag=PMM0124],[protein_id=CAE18583.1],[gene=None],[protein=conserved hypothetical protein in cyanobacteria],[locus_tag=Syncc8109_2483],[protein_id=AHF64791.1],[gene=None],[protein=hypothetical protein],[evalue=6.34309E-30]
[locus_tag=PMM0125],[protein_id=CAE18584.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[locus_tag=Syncc8109_2484],[protein_id=AHF64792.1],[gene=None],[protein=ATPase],[evalue=7.82327E-67],[locus_tag=Syncc8109_1461],[protein_id=AHF63823.1],[gene=None],[protein=ATPase],[evalue=3.21624E-23],[locus_tag=Syncc8109_1023],[protein_id=AHF63397.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transport]",[evalue=2.24468E-22]
[locus_tag=PMM0128],[protein_id=CAE18587.1],[gene=rpaA],[protein=two-component response regulator],[locus_tag=Syncc8109_2487],[protein_id=AHF64794.1],[gene=rpaA],"[protein=two component transcriptional regulator, winged helix family]",[evalue=3.62801E-156],[locus_tag=Syncc8109_2493],[protein_id=AHF64800.1],[gene=rpaB],"[protein=two component transcriptional regulator, winged helix family]",[evalue=5.54494E-55],[locus_tag=Syncc8109_0132],[protein_id=AHF62552.1],[gene=None],"[protein=two component transcriptional regulator, winged helix family]",[evalue=2.20031E-49]
[locus_tag=PMM0129],[protein_id=CAE18588.1],[gene=holB],"[protein=DNA polymerase III, delta prime subunit]",[locus_tag=Syncc8109_2488],[protein_id=AHF64795.1],[gene=holB],"[protein=DNA polymerase III, delta prime subunit]",[evalue=1.64231E-56],[locus_tag=Syncc8109_0066],[protein_id=AHF62491.1],[gene=dnaX],[protein=DNA-directed DNA polymerase],[evalue=3.90264E-13]
[locus_tag=PMM0130],[protein_id=CAE18589.1],[gene=None],[protein=Thymidylate kinase],[locus_tag=Syncc8109_2489],[protein_id=AHF64796.1],[gene=None],[protein=Thymidylate kinase],[evalue=1.96796E-73]
[locus_tag=PMM0131],[protein_id=CAE18590.1],[gene=None],[protein=putative P-type ATPase transporter for copper],[locus_tag=Syncc8109_2490],[protein_id=AHF64797.1],[gene=None],[protein=Heavy metal translocating P-type ATPase],[evalue=0.00000E+00]
[locus_tag=PMM0132],[protein_id=CAE18591.1],[gene=None],[protein=cyanobacterial conserved hypothetical],[locus_tag=Syncc8109_2491],[protein_id=AHF64798.1],[gene=None],[protein=photosystem I assembly protein Ycf3],[evalue=3.71042E-91]
[locus_tag=PMM0133],[protein_id=CAE18592.1],[gene=radA],[protein=putative DNA repair protein RadA],[locus_tag=Syncc8109_2492],[protein_id=AHF64799.1],[gene=radA],[protein=DNA repair protein RadA],[evalue=1.42272E-159]
[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator],[locus_tag=Syncc8109_2493],[protein_id=AHF64800.1],[gene=rpaB],"[protein=two component transcriptional regulator, winged helix family]",[evalue=3.36298E-157],[locus_tag=Syncc8109_0132],[protein_id=AHF62552.1],[gene=None],"[protein=two component transcriptional regulator, winged helix family]",[evalue=6.20230E-91],[locus_tag=Syncc8109_2487],[protein_id=AHF64794.1],[gene=rpaA],"[protein=two component transcriptional regulator, winged helix family]",[evalue=8.37549E-55]
[locus_tag=PMM0135],[protein_id=CAE18594.1],[gene=plsX],[protein=fatty acid/phospholipid synthesis protein PlsX],[locus_tag=Syncc8109_2494],[protein_id=AHF64801.1],[gene=plsX],[protein=fatty acid/phospholipid synthesis protein PlsX],[evalue=0.00000E+00]
[locus_tag=PMM0136],[protein_id=CAE18595.1],[gene=fabH],[protein=3-oxoacyl-[acyl-carrier-protein],[locus_tag=Syncc8109_2495],[protein_id=AHF64802.1],[gene=fabH],[protein=3-oxoacyl-[acyl-carrier-protein],[evalue=1.20741E-146]
[locus_tag=PMM0137],[protein_id=CAE18596.1],[gene=fabD],[protein=Malonyl coenzyme A-acyl carrier protein transacylase],[locus_tag=Syncc8109_2496],[protein_id=AHF64803.1],[gene=fabD],[protein=malonyl CoA-acyl carrier protein transacylase],[evalue=9.89359E-103]
[locus_tag=PMM0138],[protein_id=CAE18597.1],[gene=plsC],[protein=putative 1-acyl-sn-glycerol-3-phosphate acyltransferase],[locus_tag=Syncc8109_2497],[protein_id=AHF64804.1],[gene=plsC],[protein=1-acyl-sn-glycerol-3-phosphate acyltransferase],[evalue=1.09790E-71]
[locus_tag=PMM0139],[protein_id=CAE18598.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2499],[protein_id=AHF64806.1],[gene=None],[protein=hypothetical protein],[evalue=4.30289E-41]
[locus_tag=PMM0140],[protein_id=CAE18599.1],[gene=ycf34],[protein=putative Ycf34],[locus_tag=Syncc8109_2500],[protein_id=AHF64807.1],[gene=None],[protein=hypothetical protein],[evalue=1.39910E-33]
[locus_tag=PMM0141],[protein_id=CAE18600.1],[gene=None],[protein=Poly A polymerase family],[locus_tag=Syncc8109_2501],[protein_id=AHF64808.1],[gene=None],[protein=poly A polymerase family protein],[evalue=6.86407E-72],[locus_tag=Syncc8109_0180],[protein_id=AHF62598.1],[gene=None],[protein=putative polyA polymerase],[evalue=1.81203E-13]
[locus_tag=PMM0142],[protein_id=CAE18601.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[locus_tag=Syncc8109_2502],[protein_id=AHF64809.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=6.26401E-52]
[locus_tag=PMM0143],[protein_id=CAE18602.1],"[gene=crtB,pys]",[protein=Squalene and phytoene synthases],[locus_tag=Syncc8109_2503],[protein_id=AHF64810.1],[gene=crtB],[protein=phytoene synthase],[evalue=9.14236E-163]
[locus_tag=PMM0144],[protein_id=CAE18603.1],"[gene=pds,crtD]",[protein=phytoene desaturase],[locus_tag=Syncc8109_2504],[protein_id=AHF64811.1],[gene=crtD],"[protein=Carotene 7,8-desaturase]",[evalue=0.00000E+00],[locus_tag=Syncc8109_2460],[protein_id=AHF64768.1],[gene=crtQ],"[protein=Carotene 7,8-desaturase]",[evalue=1.01172E-80]
[locus_tag=PMM0145],[protein_id=CAE18604.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2505],[protein_id=AHF64812.1],[gene=None],[protein=NADH dehydrogenase I subunit M],[evalue=5.13764E-47]
[locus_tag=PMM0146],[protein_id=CAE18605.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2506],[protein_id=AHF64813.1],[gene=None],[protein=hypothetical protein],[evalue=4.33129E-92]
[locus_tag=PMM0147],[protein_id=CAE18606.1],[gene=rbcR],[protein=putative Rubisco transcriptional regulator],[locus_tag=Syncc8109_2507],[protein_id=AHF64814.1],[gene=rbcR],[protein=putative Rubisco transcriptional regulator],[evalue=0.00000E+00]
[locus_tag=PMM0148],[protein_id=CAE18607.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2508],[protein_id=AHF64815.1],[gene=None],[protein=hypothetical protein],[evalue=2.10312E-116]
[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 5)],[locus_tag=Syncc8109_2509],[protein_id=AHF64816.1],[gene=ndhF2],"[protein=proton-translocating NADH-quinone oxidoreductase, chain L]",[evalue=0.00000E+00],[locus_tag=Syncc8109_1947],[protein_id=AHF64291.1],[gene=ndhF3],"[protein=NAD(P)H dehydrogenase, subunit NdhF3 family]",[evalue=1.19854E-66],[locus_tag=Syncc8109_1946],[protein_id=AHF64290.1],[gene=ndhD2],"[protein=proton-translocating NADH-quinone oxidoreductase, chain M]",[evalue=1.14576E-19]
[locus_tag=PMM0150],[protein_id=CAE18609.1],[gene=ndhD],[protein=putative NADH dehydrogenase subunit (chain 4)],[locus_tag=Syncc8109_2510],[protein_id=AHF64817.1],[gene=ndhD1],"[protein=proton-translocating NADH-quinone oxidoreductase, chain M]",[evalue=0.00000E+00],[locus_tag=Syncc8109_1660],[protein_id=AHF64017.1],[gene=ndhD3],"[protein=proton-translocating NADH-quinone oxidoreductase, chain M]",[evalue=9.29251E-173],[locus_tag=Syncc8109_1946],[protein_id=AHF64290.1],[gene=ndhD2],"[protein=proton-translocating NADH-quinone oxidoreductase, chain M]",[evalue=2.65322E-80]
[locus_tag=PMM0151],[protein_id=CAE18610.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2512],[protein_id=AHF64819.1],[gene=None],[protein=putative segregation and condensation protein A],[evalue=5.80389E-83]
[locus_tag=PMM0152],[protein_id=CAE18611.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase],[locus_tag=Syncc8109_2513],[protein_id=AHF64820.1],[gene=None],[protein=putative sugar-phosphate nucleotidyl transferase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1436],[protein_id=AHF63798.1],[gene=glgC],[protein=Glucose-1-phosphate adenylyltransferase],[evalue=2.82193E-15],[locus_tag=Syncc8109_2125],[protein_id=AHF64462.1],[gene=rmlA],[protein=glucose-1-phosphate thymidylyltransferase],[evalue=2.11898E-13]
[locus_tag=PMM0153],[protein_id=CAE18612.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2514],[protein_id=AHF64821.1],[gene=None],[protein=hypothetical protein],[evalue=2.64189E-122]
[locus_tag=PMM0154],[protein_id=CAE18613.1],[gene=None],"[protein=Bacterial regulatory protein, LuxR family]",[locus_tag=Syncc8109_2515],[protein_id=AHF64822.1],[gene=None],"[protein=transcriptional regulator, LuxR family]",[evalue=3.39892E-46],[locus_tag=Syncc8109_2538],[protein_id=AHF64845.1],[gene=None],"[protein=two component transcriptional regulator, LuxR family]",[evalue=7.83916E-14]
[locus_tag=PMM0155],[protein_id=CAE18614.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2517],[protein_id=AHF64824.1],[gene=None],[protein=hypothetical protein],[evalue=3.53795E-38]
[locus_tag=PMM0156],[protein_id=CAE18615.1],[gene=None],[protein=predicted inorganic polyphosphate / ATP-NAD+ kinase],[locus_tag=Syncc8109_2518],[protein_id=AHF64825.1],[gene=ppnK],[protein=NAD(+) kinase],[evalue=1.01620E-76],[locus_tag=Syncc8109_1828],[protein_id=AHF64180.1],[gene=None],[protein=NAD(+) kinase],[evalue=1.30762E-28]
[locus_tag=PMM0157],[protein_id=CAE18616.1],[gene=ndhE],[protein=putative NADH Dehydrogenase subunit],[locus_tag=Syncc8109_2519],[protein_id=AHF64826.1],[gene=ndhE],[protein=NADH dehydrogenase I chain 4L],[evalue=1.76715E-54]
[locus_tag=PMM0158],[protein_id=CAE18617.1],[gene=ndhG],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 6)],[locus_tag=Syncc8109_2520],[protein_id=AHF64827.1],[gene=ndhG],[protein=NADH dehydrogenase I chain 6 (or J)],[evalue=3.81201E-94]
[locus_tag=PMM0159],[protein_id=CAE18618.1],[gene=ndhI],[protein=putative NADH Dehydrogenase subunit],[locus_tag=Syncc8109_2521],[protein_id=AHF64828.1],[gene=ndhI],"[protein=NADH-plastoquinone oxidoreductase, I subunit]",[evalue=3.19624E-116]
[locus_tag=PMM0160],[protein_id=CAE18619.1],[gene=ndhA],[protein=putative respiratory-chain NADH dehydrogenase subunit],[locus_tag=Syncc8109_2522],[protein_id=AHF64829.1],[gene=ndhA],[protein=NADH dehydrogenase I chain 1 (or H)],[evalue=0.00000E+00]
[locus_tag=PMM0161],[protein_id=CAE18620.1],[gene=gltA],[protein=Citrate synthase],[locus_tag=Syncc8109_2523],[protein_id=AHF64830.1],[gene=gltA],[protein=2-methylcitrate synthase/citrate synthase II],[evalue=0.00000E+00]
[locus_tag=PMM0163],[protein_id=CAE18622.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2526],[protein_id=AHF64833.1],[gene=None],[protein=Rhodanese-like protein],[evalue=1.21753E-33]
[locus_tag=PMM0164],[protein_id=CAE18623.1],[gene=trpB],"[protein=Tryptophan synthase, beta chain]",[locus_tag=Syncc8109_2528],[protein_id=AHF64835.1],[gene=trpB],"[protein=tryptophan synthase, beta subunit]",[evalue=0.00000E+00]
[locus_tag=PMM0165],[protein_id=CAE18624.1],[gene=None],[protein=Translation initiation factor SUI1],[locus_tag=Syncc8109_2529],[protein_id=AHF64836.1],[gene=None],[protein=putative translation initiation factor SUI1],[evalue=2.01244E-15]
[locus_tag=PMM0166],[protein_id=CAE18625.1],[gene=cysC],[protein=Adenylylsulfate kinase],[locus_tag=Syncc8109_2530],[protein_id=AHF64837.1],[gene=cysC],[protein=adenylylsulfate kinase],[evalue=9.93430E-100]
[locus_tag=PMM0167],[protein_id=CAE18626.1],[gene=purE],[protein=Phosphoribosylaminoimidazole carboxylase],[locus_tag=Syncc8109_2534],[protein_id=AHF64841.1],[gene=purE],"[protein=phosphoribosylaminoimidazole carboxylase, catalytic subunit]",[evalue=2.97792E-68]
[locus_tag=PMM0168],[protein_id=CAE18627.1],[gene=chlM],[protein=Mg-protoporphyrin IX methyltransferase],[locus_tag=Syncc8109_2536],[protein_id=AHF64843.1],[gene=None],[protein=magnesium protoporphyrin O-methyltransferase],[evalue=4.48942E-108]
[locus_tag=PMM0169],[protein_id=CAE18628.1],[gene=None],[protein=two-component response regulator],[locus_tag=Syncc8109_2538],[protein_id=AHF64845.1],[gene=None],"[protein=two component transcriptional regulator, LuxR family]",[evalue=1.06025E-123],[locus_tag=Syncc8109_2487],[protein_id=AHF64794.1],[gene=rpaA],"[protein=two component transcriptional regulator, winged helix family]",[evalue=2.19987E-28],[locus_tag=Syncc8109_2493],[protein_id=AHF64800.1],[gene=rpaB],"[protein=two component transcriptional regulator, winged helix family]",[evalue=4.29545E-27]
[locus_tag=PMM0170],[protein_id=CAE18629.1],[gene=None],[protein=NifS-like aminotransferase class-V],[locus_tag=Syncc8109_2540],[protein_id=AHF64847.1],[gene=nifS],[protein=NifS-like aminotransferase class-V],[evalue=1.37883E-131],[locus_tag=Syncc8109_1288],[protein_id=AHF63655.1],[gene=nifS],[protein=putative cysteine desulfurase (class-V aminotransferase family)],[evalue=2.46126E-48],[locus_tag=Syncc8109_2363],[protein_id=AHF64682.1],[gene=None],"[protein=cysteine desulfurase, SufS subfamily]",[evalue=1.95690E-18]
[locus_tag=PMM0171],[protein_id=CAE18630.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2541],[protein_id=AHF64848.1],[gene=None],[protein=methyltransferase],[evalue=1.59656E-111]
[locus_tag=PMM0172],[protein_id=CAE18631.1],[gene=ndhH],[protein=putative NADH dehydrogenase subunit],[locus_tag=Syncc8109_2542],[protein_id=AHF64849.1],[gene=ndhH],[protein=NADH dehydrogenase (ubiquinone)],[evalue=0.00000E+00]
[locus_tag=PMM0173],[protein_id=CAE18632.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2544],[protein_id=AHF64851.1],[gene=None],[protein=hypothetical protein],[evalue=2.47368E-43]
