[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]"
[locus_tag=PMM1314],[protein_id=CAE19773.1],[gene=clpP3],[protein=Clp protease proteolytic subunit]
[locus_tag=PMM1315],[protein_id=CAE19774.1],[gene=ilvC],[protein=Ketol-acid reductoisomerase]
[locus_tag=PMM1316],[protein_id=CAE19775.1],[gene=cobD],[protein=putative cobalamin biosynthetic protein]
[locus_tag=PMM1321],[protein_id=CAE19780.1],[gene=None],[protein=Bacterial histone-like DNA-binding protein]
[locus_tag=PMM1322],[protein_id=CAE19781.1],[gene=glgX],[protein=Putative isoamylase]
[locus_tag=PMM1323],[protein_id=CAE19782.1],[gene=None],[protein=putative GPH family sugar transporter]
[locus_tag=PMM1324],[protein_id=CAE19783.1],[gene=None],"[protein=possible transporter, membrane component]"
[locus_tag=PMM1325],[protein_id=CAE19784.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1326],[protein_id=CAE19785.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1327],[protein_id=CAE19786.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1328],[protein_id=CAE19787.1],[gene=pyrF],[protein=orotidine 5'-phosphate decarboxylase]
[locus_tag=PMM1329],[protein_id=CAE19788.1],[gene=tyrS],[protein=Tyrosyl-tRNA synthetase]
[locus_tag=PMM1330],[protein_id=CAE19789.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1331],[protein_id=CAE19790.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1332],[protein_id=CAE19791.1],[gene=None],[protein=Cytosol aminopeptidase]
[locus_tag=PMM1333],[protein_id=CAE19792.1],[gene=None],[protein=Peptide methionine sulfoxide reductase]
[locus_tag=PMM1334],[protein_id=CAE19793.1],[gene=lpxB],[protein=Lipid-A-disaccharide synthetase]
[locus_tag=PMM1335],[protein_id=CAE19794.1],[gene=lpxA],[protein=UDP-N-acetylglucosamine acyltransferase]
[locus_tag=PMM1336],[protein_id=CAE19795.1],[gene=None],[protein=Putative (3R)-hydroxymyristoyl-[acyl carrier protein]
[locus_tag=PMM1337],[protein_id=CAE19796.1],[gene=lpxC],[protein=UDP-3-0-acyl N-acetylglucosamine deacetylase]
[locus_tag=PMM1338],[protein_id=CAE19797.1],[gene=None],[protein=chloroplast outer envelope membrane protein homolog]
[locus_tag=PMM1339],[protein_id=CAE19798.1],[gene=purC],[protein=SAICAR synthetase]
[locus_tag=PMM1340],[protein_id=CAE19799.1],[gene=purD],[protein=phosphoribosylglycinamide synthetase]
[locus_tag=PMM1341],[protein_id=CAE19800.1],[gene=nblS],[protein=two-component sensor histidine kinase]
[locus_tag=PMM1342],[protein_id=CAE19801.1],[gene=kaiC],[protein=possible circadian clock protein KaiC]
[locus_tag=PMM1343],[protein_id=CAE19802.1],[gene=kaiB],[protein=possible circadian oscillation regulator KaiB]
[locus_tag=PMM1344],[protein_id=CAE19803.1],"[gene=rpl21, rplU]",[protein=50S ribosomal protein L21]
[locus_tag=PMM1345],[protein_id=CAE19804.1],"[gene=rpl27, rpmA]",[protein=50S ribosomal protein L27]
[locus_tag=PMM1346],[protein_id=CAE19805.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1347],[protein_id=CAE19806.1],[gene=truB],[protein=Putative tRNA pseudouridine 55 synthase]
[locus_tag=PMM1348],[protein_id=CAE19807.1],[gene=spoIID],[protein=possible sporulation protein SpoIID]
[locus_tag=PMM1349],[protein_id=CAE19808.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1350],[protein_id=CAE19809.1],[gene=None],[protein=Pentapeptide repeats]
[locus_tag=PMM1351],[protein_id=CAE19810.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1352],[protein_id=CAE19811.1],[gene=petF],[protein=ferredoxin]
[locus_tag=PMM1353],[protein_id=CAE19812.1],[gene=prmA],[protein=putative methyltransferase for Ribosomal protein L11]
[locus_tag=PMM1354],[protein_id=CAE19813.1],[gene=serA],[protein=putative D-3-phosphoglycerate dehydrogenase (PGDH)]
[locus_tag=PMM1355],[protein_id=CAE19814.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1356],[protein_id=CAE19815.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1358],[protein_id=CAE19817.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1359],[protein_id=CAE19818.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1360],[protein_id=CAE19819.1],[gene=None],[protein=similar to DNA photolyase]
[locus_tag=PMM1361],[protein_id=CAE19820.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily]
[locus_tag=PMM1364],[protein_id=CAE19823.1],[gene=murD],[protein=UDP-N-acetylmuramoylalanine--D-glutamate ligase]
[locus_tag=PMM1366],[protein_id=CAE19825.1],[gene=None],[protein=DUF209]
[locus_tag=PMM1367],[protein_id=CAE19826.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1368],[protein_id=CAE19827.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1370],[protein_id=CAE19829.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1371],[protein_id=CAE19830.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1376],[protein_id=CAE19835.1],[gene=rbpD],[protein=RNA-binding protein RbpD]
[locus_tag=PMM1378],[protein_id=CAE19837.1],"[gene=des,yocE]","[protein=Fatty acid desaturase, type 2]"
[locus_tag=PMM1380],[protein_id=CAE19839.1],[gene=None],[protein=unknown]
[locus_tag=PMM1381],[protein_id=CAE19840.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1383],[protein_id=CAE19842.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1386],[protein_id=CAE19845.1],[gene=None],[protein=possible permease]
[locus_tag=PMM1388],[protein_id=CAE19847.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1389],[protein_id=CAE19848.1],[gene=None],[protein=possible Trypsin]
[locus_tag=PMM2004],[protein_id=CAP16509.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMM1398],[protein_id=CAE19857.1],[gene=hli7],[protein=possible high light inducible protein]
[locus_tag=PMM1400],[protein_id=CAE19859.1],[gene=None],[protein=possible Hemagglutinin-neuraminidase]
[locus_tag=PMM1403],[protein_id=CAE19862.1],[gene=None],[protein=HNH endonuclease:HNH nuclease]
[locus_tag=PMM1417],[protein_id=CAE19876.1],[gene=None],[protein=Staphylococcus nuclease (SNase) homologues]
[locus_tag=PMM1422],[protein_id=CAE19881.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1425],[protein_id=CAE19884.1],[gene=None],"[protein=Serine proteases, trypsin family:HtrA/DegQ protease family]"
[locus_tag=PMM1428],[protein_id=CAE19887.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1429],[protein_id=CAE19888.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1430],[protein_id=CAE19889.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1431],[protein_id=CAE19890.1],[gene=rpoZ],[protein=putative DNA-directed RNA polymerase (omega chain)]
[locus_tag=PMM1432],[protein_id=CAE19891.1],[gene=None],[protein=putative DnaK-type molecular chaperone (HSP70 family)]
[locus_tag=PMM1433],[protein_id=CAE19892.1],[gene=None],[protein=Phosphoribosyl transferase]
[locus_tag=PMM1434],[protein_id=CAE19893.1],[gene=pgmI],"[protein=Phosphoglycerate mutase, co-factor-independent (iPGM)]"
[locus_tag=PMM1435],[protein_id=CAE19894.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1436],[protein_id=CAE19895.1],[gene=groEL],[protein=GroEL protein (Chaperonin cpn60)]
[locus_tag=PMM1437],[protein_id=CAE19896.1],[gene=groES],[protein=GroES protein (Chaperonin cpn10)]
[locus_tag=PMM1438],[protein_id=CAE19897.1],[gene=atpB],[protein=H+-transporting ATP synthase beta subunit]
[locus_tag=PMM1439],[protein_id=CAE19898.1],"[gene=atpC,atpE]","[protein=ATP synthase, Epsilon subunit]"
[locus_tag=PMM1440],[protein_id=CAE19899.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1442],[protein_id=CAE19901.1],[gene=pepP],[protein=putative aminopeptidase P]
[locus_tag=PMM1443],[protein_id=CAE19902.1],[gene=None],[protein=Domain of unknown function DUF21]
[locus_tag=PMM1444],[protein_id=CAE19903.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1445],[protein_id=CAE19904.1],[gene=None],[protein=Putative nicotinate-nucleotide adenylyltransferase]
[locus_tag=PMM1446],[protein_id=CAE19905.1],[gene=None],[protein=Carbon-nitrogen hydrolase:NAD+ synthase]
[locus_tag=PMM1447],[protein_id=CAE19906.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1449],[protein_id=CAE19908.1],[gene=petF],[protein=ferredoxin]
[locus_tag=PMM1450],[protein_id=CAE19909.1],[gene=atpC],[protein=ATP synthase gamma subunit]
[locus_tag=PMM1451],[protein_id=CAE19910.1],[gene=atpA],[protein=H+-transporting ATP synthase alpha-subunit]
[locus_tag=PMM1452],[protein_id=CAE19911.1],"[gene=atpH,atpD]","[protein=ATP synthase, delta (OSCP) subunit]"
[locus_tag=PMM1453],[protein_id=CAE19912.1],[gene=atpF],[protein=ATP synthase B/B' CF(0)]
[locus_tag=PMM1454],[protein_id=CAE19913.1],[gene=atpG],[protein=ATP synthase B/B' CF(0)]
[locus_tag=PMM1455],[protein_id=CAE19914.1],[gene=None],[protein=H+-transporting ATP synthase c subunit]
[locus_tag=PMM1456],[protein_id=CAE19915.1],[gene=atpI],[protein=ATP synthase A subunit]
[locus_tag=PMM1457],[protein_id=CAE19916.1],[gene=atp1],[protein=possible ATP synthase subunit 1]
[locus_tag=PMM1458],[protein_id=CAE19917.1],[gene=ftsW],[protein=Cell division protein FtsW]
[locus_tag=PMM1459],[protein_id=CAE19918.1],[gene=ccdA],[protein=putative c-type cytochrome biogenesis protein CcdA]
[locus_tag=PMM1460],[protein_id=CAE19919.1],[gene=ycf44],[protein=putative c-type cytochrome biogenesis protein Ccs1]
[locus_tag=PMM1461],[protein_id=CAE19920.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1463],[protein_id=CAE19922.1],[gene=glnB],[protein=Nitrogen regulatory protein P-II]
[locus_tag=PMM1464],[protein_id=CAE19923.1],[gene=None],[protein=FtsJ cell division protein:S4 domain:Hemolysin A]
[locus_tag=PMM1465],[protein_id=CAE19924.1],[gene=purB],[protein=Fumarate lyase:Adenylosuccinate lyase]
[locus_tag=PMM1466],[protein_id=CAE19925.1],[gene=fumC],[protein=Fumarate lyase]
[locus_tag=PMM1468],[protein_id=CAE19927.1],[gene=bioF],[protein=putative 8-amino-7-oxononanoate synthase]
[locus_tag=PMM1469],[protein_id=CAE19928.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM1470],[protein_id=CAE19929.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1471],[protein_id=CAE19930.1],[gene=BioD],[protein=putative Dethiobiotin synthase]
[locus_tag=PMM1472],[protein_id=CAE19931.1],[gene=BioA],[protein=putative diaminopelargonic acid synthase]
[locus_tag=PMM1474],[protein_id=CAE19933.1],[gene=None],[protein=DnaJ-like protein]
[locus_tag=PMM1475],[protein_id=CAE19934.1],[gene=gidB],[protein=putative glucose inhibited division protein B]
[locus_tag=PMM1476],[protein_id=CAE19935.1],[gene=None],[protein=Aldo/keto reductase family]
[locus_tag=PMM1477],[protein_id=CAE19936.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM1478],[protein_id=CAE19937.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1479],[protein_id=CAE19938.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1480],[protein_id=CAE19939.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1481],[protein_id=CAE19940.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1482],[protein_id=CAE19941.1],[gene=hli3],[protein=possible high light inducible protein]
[locus_tag=PMM1483],[protein_id=CAE19942.1],[gene=rpoC2],[protein=RNA polymerase beta prime subunit]
[locus_tag=PMM1484],[protein_id=CAE19943.1],[gene=rpoC1],[protein=RNA polymerase gamma subunit]
[locus_tag=PMM1485],[protein_id=CAE19944.1],[gene=rpoB],[protein=RNA polymerase beta subunit]
[locus_tag=PMM1486],[protein_id=CAE19945.1],[gene=None],"[protein=possible deoxyribonuclease, TatD family]"
[locus_tag=PMM1487],[protein_id=CAE19946.1],"[gene=rpsT,rps20]",[protein=30s Ribosomal protein S20]
[locus_tag=PMM1488],[protein_id=CAE19947.1],[gene=hisD],[protein=Histidinol dehydrogenase]
[locus_tag=PMM1489],[protein_id=CAE19948.1],"[gene=rpiA, cbbI]",[protein=Ribose 5-phosphate isomerase]
[locus_tag=PMM1490],[protein_id=CAE19949.1],[gene=None],[protein=Serine protease]
[locus_tag=PMM1491],[protein_id=CAE19950.1],[gene=None],[protein=DUF150]
[locus_tag=PMM1492],[protein_id=CAE19951.1],[gene=nusA],[protein=N utilization substance protein A]
[locus_tag=PMM1494],[protein_id=CAE19953.1],[gene=infB],[protein=Translation initiation factor IF-2]
[locus_tag=PMM1498],[protein_id=CAE19957.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1499],[protein_id=CAE19958.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1500],[protein_id=CAE19959.1],[gene=None],[protein=putative aminotransferase]
[locus_tag=PMM1501],[protein_id=CAE19960.1],[gene=None],[protein=S1 RNA binding domain:Ribonuclease E and G]
[locus_tag=PMM1502],[protein_id=CAE19961.1],[gene=None],[protein=Ribonuclease HII and HIII]
[locus_tag=PMM1503],[protein_id=CAE19962.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1504],[protein_id=CAE19963.1],[gene=pheA],[protein=Chorismate mutase-Prephenate dehydratase]
[locus_tag=PMM1505],[protein_id=CAE19964.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif]
[locus_tag=PMM1506],[protein_id=CAE19965.1],[gene=None],[protein=ATP-dependent protease La (LON) domain]
[locus_tag=PMM1507],[protein_id=CAE19966.1],"[gene=rpsJ,rps10]",[protein=30S ribosomal protein S10]
[locus_tag=PMM1508],[protein_id=CAE19967.1],[gene=tufA],[protein=Elongation factor Tu]
[locus_tag=PMM1509],[protein_id=CAE19968.1],[gene=fusA],[protein=Elongation factor G]
[locus_tag=PMM1510],[protein_id=CAE19969.1],"[gene=rps7, rpsG]",[protein=30S ribosomal protein S7]
[locus_tag=PMM1511],[protein_id=CAE19970.1],"[gene=rps12, rpsL]",[protein=30S ribosomal protein S12]
[locus_tag=PMM1512],[protein_id=CAE19971.1],"[gene=glsF, gltS]","[protein=Ferredoxin-dependent glutamate synthase, Fd-GOGAT]"
[locus_tag=PMM1513],[protein_id=CAE19972.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1514],[protein_id=CAE19973.1],[gene=lipA],[protein=lipoic acid synthetase]
[locus_tag=PMM1517],[protein_id=CAE19976.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1518],[protein_id=CAE19977.1],[gene=None],[protein=conserved hypothetical proein]
[locus_tag=PMM1519],[protein_id=CAE19978.1],[gene=psaL],[protein=Photosystem I PsaL protein (subunit XI)]
[locus_tag=PMM1522],[protein_id=CAE19981.1],[gene=None],"[protein=Glycosyl transferase, family 2]"
[locus_tag=PMM1523],[protein_id=CAE19982.1],[gene=psaB],[protein=Photosystem I PsaB protein]
[locus_tag=PMM1524],[protein_id=CAE19983.1],[gene=psaA],[protein=Photosystem I PsaA protein]
[locus_tag=PMM1525],[protein_id=CAE19984.1],[gene=cbiG/cobJ fusion],[protein=bifunctional cbiH protien and PRECORRIN-3B C17-METHYLTRANSFERASE]
[locus_tag=PMM1526],[protein_id=CAE19985.1],[gene=hisB],[protein=putative imidazoleglycerol-phosphate dehydratase]
[locus_tag=PMM1527],[protein_id=CAE19986.1],[gene=alr],[protein=putative Alanine racemase]
[locus_tag=PMM1528],[protein_id=CAE19987.1],[gene=None],[protein=HNH endonuclease family protein]
[locus_tag=PMM1529],[protein_id=CAE19988.1],"[gene=prfA,sueB]",[protein=peptide chain release factor RF-1]
[locus_tag=PMM1530],[protein_id=CAE19989.1],"[gene=rpl31, rpmE]",[protein=50S ribosomal protein L31]
[locus_tag=PMM1531],[protein_id=CAE19990.1],"[gene=rps9, rpsI]",[protein=30S ribosomal protein S9]
[locus_tag=PMM1532],[protein_id=CAE19991.1],"[gene=rpl13, rplM]",[protein=50S ribosomal protein L13]
[locus_tag=PMM1533],[protein_id=CAE19992.1],[gene=truA],[protein=tRNA pseudouridine synthase A]
[locus_tag=PMM1534],[protein_id=CAE19993.1],"[gene=rpl17, rplQ]",[protein=50S ribosomal protein L17]
[locus_tag=PMM1535],[protein_id=CAE19994.1],[gene=rpoA],"[protein=Bacterial RNA polymerase, alpha chain]"
[locus_tag=PMM1536],[protein_id=CAE19995.1],"[gene=rps11, rpsK]",[protein=30S ribosomal protein S11]
[locus_tag=PMM1537],[protein_id=CAE19996.1],"[gene=rps13, rpsM]",[protein=30S ribosomal protein S13]
[locus_tag=PMM1539],[protein_id=CAE19998.1],[gene=adk],[protein=Adenylate kinase]
[locus_tag=PMM1540],[protein_id=CAE19999.1],[gene=secY],[protein=preprotein translocase SecY subunit]
[locus_tag=PMM1541],[protein_id=CAE20000.1],"[gene=rpl15, rplO]",[protein=50S ribosomal protein L15]
[locus_tag=PMM1542],[protein_id=CAE20001.1],"[gene=rpsE,rps5]",[protein=30S ribosomal protein S5]
[locus_tag=PMM1543],[protein_id=CAE20002.1],"[gene=rpl18, rplR]",[protein=50S ribosomal protein L18]
[locus_tag=PMM1544],[protein_id=CAE20003.1],"[gene=rpl6, rplF]",[protein=50S ribosomal protein L6]
[locus_tag=PMM1545],[protein_id=CAE20004.1],"[gene=rps8, rpsH]",[protein=30S ribosomal protein S8]
[locus_tag=PMM1546],[protein_id=CAE20005.1],"[gene=rpl5, rplE]",[protein=50S ribosomal protein L5]
[locus_tag=PMM1547],[protein_id=CAE20006.1],"[gene=rpl24, rplX]",[protein=50S ribosomal protein L24]
[locus_tag=PMM1548],[protein_id=CAE20007.1],"[gene=rpl14, rplN]",[protein=50S Ribosomal protein L14]
[locus_tag=PMM1549],[protein_id=CAE20008.1],"[gene=rps17, rpsQ]",[protein=30S Ribosomal protein S17]
[locus_tag=PMM1550],[protein_id=CAE20009.1],"[gene=rpl29, rpmC]",[protein=50S ribosomal protein L29]
[locus_tag=PMM1551],[protein_id=CAE20010.1],"[gene=rpl16, rplP]",[protein=50S ribosomal protein L16]
[locus_tag=PMM1552],[protein_id=CAE20011.1],"[gene=rps3, rpsC]",[protein=30S ribosomal protein S3]
[locus_tag=PMM1553],[protein_id=CAE20012.1],"[gene=rpl22, rplV]",[protein=50S ribosomal protein L22]
[locus_tag=PMM1554],[protein_id=CAE20013.1],"[gene=rps19, rpsS]",[protein=30S Ribosomal protein S19]
[locus_tag=PMM1555],[protein_id=CAE20014.1],"[gene=rpl2, rplB]",[protein=50S ribosomal protein L2]
[locus_tag=PMM1556],[protein_id=CAE20015.1],"[gene=rpl23, rplW]",[protein=50S ribosomal protein L23]
[locus_tag=PMM1557],[protein_id=CAE20016.1],"[gene=rpl4, rplD]",[protein=50S ribosomal protein L4]
[locus_tag=PMM1558],[protein_id=CAE20017.1],"[gene=rpl3, rplC]",[protein=50S ribosomal protein L3]
[locus_tag=PMM1559],[protein_id=CAE20018.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1560],[protein_id=CAE20019.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1561],[protein_id=CAE20020.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1562],[protein_id=CAE20021.1],[gene=recA],[protein=RecA bacterial DNA recombination protein]
[locus_tag=PMM1563],[protein_id=CAE20022.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1564],[protein_id=CAE20023.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1565],[protein_id=CAE20024.1],[gene=None],[protein=Prephenate dehydrogenase]
[locus_tag=PMM1566],[protein_id=CAE20025.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1568],[protein_id=CAE20027.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1569],[protein_id=CAE20028.1],[gene=moeB],[protein=molybdopterin biosynthesis protein]
[locus_tag=PMM1570],[protein_id=CAE20029.1],[gene=None],[protein=ATP:corrinoid adenosyltransferase BtuR/CobO/CobP]
[locus_tag=PMM1571],[protein_id=CAE20030.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1572],[protein_id=CAE20031.1],[gene=None],[protein=DUF206]
[locus_tag=PMM1573],[protein_id=CAE20032.1],[gene=recF],[protein=putative DNA repair and genetic recombination protein RecF]
[locus_tag=PMM1574],[protein_id=CAE20033.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1575],[protein_id=CAE20034.1],[gene=ppc],[protein=Phosphoenolpyruvate carboxylase]
[locus_tag=PMM1576],[protein_id=CAE20035.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1577],[protein_id=CAE20036.1],[gene=trpE],[protein=Anthranilate synthase component I and chorismate binding enzyme]
[locus_tag=PMM1578],[protein_id=CAE20037.1],[gene=psaD],[protein=Photosystem I protein PsaD]
[locus_tag=PMM1579],[protein_id=CAE20038.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1580],[protein_id=CAE20039.1],[gene=rodA],[protein=None]
[locus_tag=PMM1581],[protein_id=CAE20040.1],[gene=None],[protein=MRP protein homolog]
[locus_tag=PMM1582],[protein_id=CAE20041.1],[gene=hemF],[protein=Coproporphyrinogen III oxidase]
[locus_tag=PMM1583],[protein_id=CAE20042.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1584],[protein_id=CAE20043.1],[gene=rnd],[protein=putative ribonuclease D]
[locus_tag=PMM1585],[protein_id=CAE20044.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1586],[protein_id=CAE20045.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1588],[protein_id=CAE20047.1],[gene=None],[protein=possible Conserved carboxylase domain]
[locus_tag=PMM1589],[protein_id=CAE20048.1],"[gene=purM,purG]",[protein=phosphoribosyl formylglycinamidine cyclo-ligase]
[locus_tag=PMM1590],[protein_id=CAE20049.1],"[gene=panC, cmk]",[protein=putative bifunctional enzyme; pantothenate synthetase/cytidylate kinase]
[locus_tag=PMM1591],[protein_id=CAE20050.1],[gene=None],[protein=Low molecular weight phosphotyrosine protein phosphatase]
[locus_tag=PMM1592],[protein_id=CAE20051.1],[gene=pebB],[protein=phycoerythrobilin:ferredoxin oxidoreductase]
[locus_tag=PMM1593],[protein_id=CAE20052.1],[gene=pebA],[protein=phycoerythrobilin:ferredoxin oxidoreductase]
[locus_tag=PMM1594],[protein_id=CAE20053.1],[gene=ho1],[protein=Heme oxygenase]
[locus_tag=PMM1595],[protein_id=CAE20054.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1596],[protein_id=CAE20055.1],[gene=icd],[protein=Isocitrate dehydrogenase]
[locus_tag=PMM1598],[protein_id=CAE20057.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1599],[protein_id=CAE20058.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1600],[protein_id=CAE20059.1],[gene=None],"[protein=putative Na+/H+ antiporter, CPA2 family]"
[locus_tag=PMM1601],[protein_id=CAE20060.1],[gene=None],[protein=phosphorylase]
[locus_tag=PMM1602],[protein_id=CAE20061.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1603],[protein_id=CAE20062.1],[gene=rnc],[protein=putative ribonuclease III]
[locus_tag=PMM1604],[protein_id=CAE20063.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1605],[protein_id=CAE20064.1],[gene=rimM],[protein=possible 16S rRNA processing protein RimM]
[locus_tag=PMM1606],[protein_id=CAE20065.1],[gene=glmS],[protein=Glutamine--fructose-6-phosphate transaminase (isomerizing)]
[locus_tag=PMM1607],[protein_id=CAE20066.1],[gene=psaC],[protein=Photosystem I subunit PsaC]
[locus_tag=PMM1608],[protein_id=CAE20067.1],"[gene=acpP,acp]",[protein=acyl carrier protein (ACP)]
[locus_tag=PMM1609],[protein_id=CAE20068.1],[gene=fabF],[protein=3-oxoacyl-[acyl-carrier-protein]
[locus_tag=PMM1610],[protein_id=CAE20069.1],"[gene=tktA, cbbT]",[protein=Transketolase]
[locus_tag=PMM1611],[protein_id=CAE20070.1],[gene=thiC],[protein=ThiC family]
[locus_tag=PMM1613],[protein_id=CAE20072.1],[gene=None],[protein=Zinc metallopeptidase M20/M25/M40 family]
[locus_tag=PMM1614],[protein_id=CAE20073.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1615],[protein_id=CAE20074.1],[gene=ruvB],[protein=Holliday junction DNA helicase RuvB]
[locus_tag=PMM1616],[protein_id=CAE20075.1],[gene=smpB],[protein=tmRNA binding protein SmpB]
[locus_tag=PMM1617],[protein_id=CAE20076.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1618],[protein_id=CAE20077.1],[gene=lysS],[protein=Lysyl-tRNA synthetase]
[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator]
[locus_tag=PMM1620],[protein_id=CAE20079.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1621],[protein_id=CAE20080.1],[gene=mreC],[protein=putative rod shape-determining protein]
[locus_tag=PMM1622],[protein_id=CAE20081.1],[gene=mreB],[protein=Rod shape determining protein]
[locus_tag=PMM1623],[protein_id=CAE20082.1],[gene=ssb],[protein=single-stranded DNA-binding protein]
[locus_tag=PMM1624],[protein_id=CAE20083.1],[gene=None],[protein=DedA family; putative alkaline phosphatase-like protein]
[locus_tag=PMM1625],[protein_id=CAE20084.1],"[gene=ahcY, sahH]",[protein=putative adenosylhomocysteinase]
[locus_tag=PMM1626],[protein_id=CAE20085.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1627],[protein_id=CAE20086.1],[gene=None],[protein=Putative carbohydrate kinase]
[locus_tag=PMM1628],[protein_id=CAE20087.1],[gene=None],[protein=possible alpha/beta hydrolase superfamily]
[locus_tag=PMM1629],[protein_id=CAE20088.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]"
[locus_tag=PMM1630],[protein_id=CAE20089.1],[gene=None],"[protein=MgtE family, putative magnesium transport protein]"
[locus_tag=PMM1634],[protein_id=CAE20093.1],[gene=gyrB],"[protein=DNA gyrase, subunit B]"
[locus_tag=PMM1635],[protein_id=CAE20094.1],"[gene=miaA,trpX]",[protein=tRNA delta-2-isopentenylpyrophosphate (IPP) transferase]
[locus_tag=PMM1636],[protein_id=CAE20095.1],[gene=infC],[protein=Translation Initiation factor 3]
[locus_tag=PMM1637],[protein_id=CAE20096.1],[gene=None],[protein=possible transcriptional regulator]
[locus_tag=PMM1639],[protein_id=CAE20098.1],[gene=secA],[protein=Preprotein translocase SecA subunit]
[locus_tag=PMM1640],[protein_id=CAE20099.1],[gene=None],"[protein=putative acetyltransferase, GNAT family]"
