[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[evalue=1.10156E-156]
[locus_tag=PMM0092],[protein_id=CAE18551.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2189],[protein_id=CAK24615.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.70112E-65]
[locus_tag=PMM0093],[protein_id=CAE18552.1],[gene=hli1],[protein=possible high light inducible protein],[locus_tag=SynWH7803_2191],[protein_id=CAK24617.1],[gene=hli],[protein=High light inducible protein],[evalue=1.90627E-23]
[locus_tag=PMM0095],[protein_id=CAE18554.1],[gene=None],[protein=similar to serum resistance locus BrkB],[locus_tag=SynWH7803_2197],[protein_id=CAK24623.1],[gene=None],[protein=Ribonuclease BN-like family protein],[evalue=1.20058E-118]
[locus_tag=PMM0096],[protein_id=CAE18555.1],[gene=None],[protein=inositol monophosphate family protein],[locus_tag=SynWH7803_2198],[protein_id=CAK24624.1],[gene=None],[protein=Inositol monophosphatase family protein],[evalue=4.68367E-109],[locus_tag=SynWH7803_1241],[protein_id=CAK23667.1],[gene=suhB],[protein=Inositol-1-monophosphatase],[evalue=4.86233E-21]
[locus_tag=PMM0097],[protein_id=CAE18556.1],[gene=None],[protein=possible RND family outer membrane efflux protein],[locus_tag=SynWH7803_2199],[protein_id=CAK24625.1],[gene=tolC],[protein=Outer membrane efflux protein],[evalue=4.54963E-65],[locus_tag=SynWH7803_2268],[protein_id=CAK24694.1],[gene=None],[protein=Outer membrane efflux protein],[evalue=2.58422E-18],[locus_tag=SynWH7803_1521],[protein_id=CAK23947.1],[gene=None],[protein=Outer membrane efflux protein],[evalue=4.70270E-14]
[locus_tag=PMM0098],[protein_id=CAE18557.1],[gene=None],[protein=possible Fe-S oxidoreductase],[locus_tag=SynWH7803_2200],[protein_id=CAK24626.1],[gene=None],[protein=Fe-S oxidoreductase],[evalue=0.00000E+00]
[locus_tag=PMM0099],[protein_id=CAE18558.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2202],[protein_id=CAK24628.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=6.57847E-60]
[locus_tag=PMM0100],[protein_id=CAE18559.1],[gene=nadB],[protein=L-aspartate oxidase],[locus_tag=SynWH7803_2204],[protein_id=CAK24630.1],[gene=nadB],[protein=L-aspartate oxidase],[evalue=0.00000E+00]
[locus_tag=PMM0101],[protein_id=CAE18560.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2205],[protein_id=CAK24631.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=5.03826E-105]
[locus_tag=PMM0102],[protein_id=CAE18561.1],[gene=None],[protein=possible Fe-S oxidoreductase],[locus_tag=SynWH7803_2206],[protein_id=CAK24632.1],[gene=None],[protein=2-methylthioadenine synthetase],[evalue=0.00000E+00],[locus_tag=SynWH7803_1755],[protein_id=CAK24181.1],[gene=miaB],[protein=2-methylthioadenine synthetase],[evalue=4.18276E-55]
[locus_tag=PMM0103],[protein_id=CAE18562.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2209],[protein_id=CAK24635.1],[gene=None],[protein=Conserved hypothetical protein specific for cyanobacteria],[evalue=9.35148E-39]
[locus_tag=PMM0104],[protein_id=CAE18563.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2210],[protein_id=CAK24636.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.57750E-145]
[locus_tag=PMM0105],[protein_id=CAE18564.1],[gene=ribG],[protein=RibD/ribG C-terminal domain],[locus_tag=SynWH7803_2211],[protein_id=CAK24637.1],[gene=ribD],"[protein=Pyrimidine reductase, riboflavin biosynthesis]",[evalue=2.75381E-47]
[locus_tag=PMM0106],[protein_id=CAE18565.1],[gene=None],[protein=6-pyruvoyl tetrahydropterin synthase],[locus_tag=SynWH7803_2212],[protein_id=CAK24638.1],[gene=None],[protein=6-pyruvoyl-tetrahydropterin synthase],[evalue=1.18149E-159]
[locus_tag=PMM0107],[protein_id=CAE18566.1],[gene=aroK],[protein=Shikimate kinase],[locus_tag=SynWH7803_2213],[protein_id=CAK24639.1],[gene=aroK],[protein=Shikimate kinase],[evalue=1.31601E-50]
[locus_tag=PMM0108],[protein_id=CAE18567.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2214],[protein_id=CAK24640.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.34226E-16]
[locus_tag=PMM0109],[protein_id=CAE18568.1],[gene=None],[protein=possible POLO box duplicated region.],[locus_tag=SynWH7803_2215],[protein_id=CAK24641.1],[gene=None],[protein=Uncharacterized conserved secreted protein],[evalue=9.66385E-42]
[locus_tag=PMM0110],[protein_id=CAE18569.1],[gene=None],[protein=putative glutathione S-transferase],[locus_tag=SynWH7803_2216],[protein_id=CAK24642.1],[gene=gst],[protein=Glutathione S-transferase],[evalue=1.82598E-76]
[locus_tag=PMM0111],[protein_id=CAE18570.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2217],[protein_id=CAK24643.1],[gene=None],[protein=Conserved hypothetical protein specific for phototrophic organisms],[evalue=1.56141E-17]
[locus_tag=PMM0112],[protein_id=CAE18571.1],[gene=rbfA],[protein=Ribosome-binding factor A],[locus_tag=SynWH7803_2218],[protein_id=CAK24644.1],[gene=rbfA],[protein=Ribosome-binding factor A],[evalue=1.96453E-30]
[locus_tag=PMM0113],[protein_id=CAE18572.1],[gene=hemD],[protein=putative uroporphyrinogen III synthase],[locus_tag=SynWH7803_2221],[protein_id=CAK24647.1],[gene=hemD],[protein=Uroporphyrinogen-III synthase],[evalue=2.18204E-93]
[locus_tag=PMM0114],[protein_id=CAE18573.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2223],[protein_id=CAK24649.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.81058E-63]
[locus_tag=PMM0115],[protein_id=CAE18574.1],[gene=crtQ],[protein=zeta-carotene desaturase],[locus_tag=SynWH7803_2224],[protein_id=CAK24650.1],"[gene=crtQ, zds]",[protein=Zeta-carotene desaturase],[evalue=0.00000E+00],[locus_tag=SynWH7803_2273],[protein_id=CAK24699.1],"[gene=crtD,pds]",[protein=Phytoene dehydrogenase],[evalue=3.31364E-80]
[locus_tag=PMM0116],[protein_id=CAE18575.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2225],[protein_id=CAK24651.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=9.56376E-61]
[locus_tag=PMM0117],[protein_id=CAE18576.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2226],[protein_id=CAK24652.1],[gene=None],"[protein=TPR-repeat protein, specific for cyanobacteria]",[evalue=7.37259E-47]
[locus_tag=PMM0118],[protein_id=CAE18577.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2227],[protein_id=CAK24653.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.52693E-111],[locus_tag=SynWH7803_0467],[protein_id=CAK22893.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.23896E-27]
[locus_tag=PMM0119],[protein_id=CAE18578.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2228],[protein_id=CAK24654.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=8.55532E-13]
[locus_tag=PMM0120],[protein_id=CAE18579.1],[gene=None],[protein=putative cell division inhibitor],[locus_tag=SynWH7803_2229],[protein_id=CAK24655.1],[gene=None],[protein=Predicted nucleoside-diphosphate sugar epimerase],[evalue=2.73307E-112]
[locus_tag=PMM0121],[protein_id=CAE18580.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2231],[protein_id=CAK24657.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.18767E-29]
[locus_tag=PMM0122],[protein_id=CAE18581.1],[gene=None],[protein=possible heat shock protein DnaJ],[locus_tag=SynWH7803_2233],[protein_id=CAK24659.1],[gene=dnaJ],[protein=DnaJ-class molecular chaperone],[evalue=4.39039E-68]
[locus_tag=PMM0123],[protein_id=CAE18582.1],[gene=cysK2],[protein=O-acetylserine (thiol)-lyase A],[locus_tag=SynWH7803_2234],[protein_id=CAK24660.1],[gene=cysK],[protein=Cysteine synthase],[evalue=3.27105E-128],[locus_tag=SynWH7803_0585],[protein_id=CAK23011.1],[gene=cysK],[protein=Cysteine synthase],[evalue=1.47461E-78]
[locus_tag=PMM0124],[protein_id=CAE18583.1],[gene=None],[protein=conserved hypothetical protein in cyanobacteria],[locus_tag=SynWH7803_2240],[protein_id=CAK24666.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=7.74712E-28]
[locus_tag=PMM0125],[protein_id=CAE18584.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[locus_tag=SynWH7803_2241],[protein_id=CAK24667.1],[gene=None],"[protein=ABC-type system, ATPase component]",[evalue=1.47639E-71],[locus_tag=SynWH7803_2261],[protein_id=CAK24687.1],[gene=devA],"[protein=ABC-type transport system, involved in lipoprotein release, ATPase component]",[evalue=4.33422E-22],[locus_tag=SynWH7803_1332],[protein_id=CAK23758.1],[gene=devA],[protein=DevA-like ABC transporter ATPase component],[evalue=2.32513E-20]
[locus_tag=PMM0128],[protein_id=CAE18587.1],[gene=rpaA],[protein=two-component response regulator],[locus_tag=SynWH7803_2242],[protein_id=CAK24668.1],[gene=None],[protein=Two-component system response regulator],[evalue=3.64662E-155],[locus_tag=SynWH7803_2248],[protein_id=CAK24674.1],[gene=None],[protein=Two-component system response regulator],[evalue=1.94045E-53],[locus_tag=SynWH7803_0176],[protein_id=CAK22602.1],[gene=None],[protein=Two-component system response regulator],[evalue=3.67897E-50]
[locus_tag=PMM0129],[protein_id=CAE18588.1],[gene=holB],"[protein=DNA polymerase III, delta prime subunit]",[locus_tag=SynWH7803_2243],[protein_id=CAK24669.1],[gene=holB],[protein=DNA polymerase III delta prime subunit],[evalue=2.85664E-72],[locus_tag=SynWH7803_0062],[protein_id=CAK22488.1],[gene=dnaX],[protein=DNA polymerase III gamma/tau subunit],[evalue=9.89738E-16]
[locus_tag=PMM0130],[protein_id=CAE18589.1],[gene=None],[protein=Thymidylate kinase],[locus_tag=SynWH7803_2244],[protein_id=CAK24670.1],[gene=tmk],[protein=Thymidylate kinase],[evalue=2.48288E-68]
[locus_tag=PMM0131],[protein_id=CAE18590.1],[gene=None],[protein=putative P-type ATPase transporter for copper],[locus_tag=SynWH7803_2245],[protein_id=CAK24671.1],[gene=copA],[protein=Copper-transporting ATPase],[evalue=0.00000E+00]
[locus_tag=PMM0132],[protein_id=CAE18591.1],[gene=None],[protein=cyanobacterial conserved hypothetical],[locus_tag=SynWH7803_2246],[protein_id=CAK24672.1],[gene=ycf3],[protein=Photosystem I assembly protein Ycf3],[evalue=1.59299E-93]
[locus_tag=PMM0133],[protein_id=CAE18592.1],[gene=radA],[protein=putative DNA repair protein RadA],[locus_tag=SynWH7803_2247],[protein_id=CAK24673.1],[gene=radA],[protein=DNA repair protein RadA],[evalue=1.20559E-163]
[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator],[locus_tag=SynWH7803_2248],[protein_id=CAK24674.1],[gene=None],[protein=Two-component system response regulator],[evalue=2.84295E-158],[locus_tag=SynWH7803_0176],[protein_id=CAK22602.1],[gene=None],[protein=Two-component system response regulator],[evalue=8.41827E-92],[locus_tag=SynWH7803_2242],[protein_id=CAK24668.1],[gene=None],[protein=Two-component system response regulator],[evalue=1.45216E-55]
[locus_tag=PMM0135],[protein_id=CAE18594.1],[gene=plsX],[protein=fatty acid/phospholipid synthesis protein PlsX],[locus_tag=SynWH7803_2249],[protein_id=CAK24675.1],[gene=plsX],[protein=Fatty acid/phospholipid synthesis protein PlsX],[evalue=0.00000E+00]
[locus_tag=PMM0136],[protein_id=CAE18595.1],[gene=fabH],[protein=3-oxoacyl-[acyl-carrier-protein],[locus_tag=SynWH7803_2250],[protein_id=CAK24676.1],[gene=fabH],[protein=3-oxoacyl-[acyl-carrier-protein],[evalue=1.36005E-138]
[locus_tag=PMM0137],[protein_id=CAE18596.1],[gene=fabD],[protein=Malonyl coenzyme A-acyl carrier protein transacylase],[locus_tag=SynWH7803_2251],[protein_id=CAK24677.1],[gene=fabD],[protein=Malonyl CoA-acyl carrier protein transacylase],[evalue=4.71644E-94]
[locus_tag=PMM0138],[protein_id=CAE18597.1],[gene=plsC],[protein=putative 1-acyl-sn-glycerol-3-phosphate acyltransferase],[locus_tag=SynWH7803_2252],[protein_id=CAK24678.1],[gene=plsC],[protein=1-acyl-sn-glycerol-3-phosphate acyltransferase],[evalue=1.61457E-75]
[locus_tag=PMM0139],[protein_id=CAE18598.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2254],[protein_id=CAK24680.1],[gene=None],"[protein=Inactive homolog of metal-dependent protease, putative molecular chaperone]",[evalue=6.92943E-32]
[locus_tag=PMM0140],[protein_id=CAE18599.1],[gene=ycf34],[protein=putative Ycf34],[locus_tag=SynWH7803_2255],[protein_id=CAK24681.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.17039E-31]
[locus_tag=PMM0141],[protein_id=CAE18600.1],[gene=None],[protein=Poly A polymerase family],[locus_tag=SynWH7803_2256],[protein_id=CAK24682.1],[gene=pcnB],[protein=tRNA nucleotidyltransferase/poly(A) polymerase],[evalue=3.49727E-69]
[locus_tag=PMM0142],[protein_id=CAE18601.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[locus_tag=SynWH7803_2257],[protein_id=CAK24683.1],[gene=None],"[protein=RNA-binding protein, RRM domain]",[evalue=9.95051E-47]
[locus_tag=PMM0143],[protein_id=CAE18602.1],"[gene=crtB,pys]",[protein=Squalene and phytoene synthases],[locus_tag=SynWH7803_2269],[protein_id=CAK24695.1],[gene=crtB],[protein=Phytoene synthase],[evalue=6.52952E-152]
[locus_tag=PMM0144],[protein_id=CAE18603.1],"[gene=pds,crtD]",[protein=phytoene desaturase],[locus_tag=SynWH7803_2273],[protein_id=CAK24699.1],"[gene=crtD,pds]",[protein=Phytoene dehydrogenase],[evalue=0.00000E+00],[locus_tag=SynWH7803_2224],[protein_id=CAK24650.1],"[gene=crtQ, zds]",[protein=Zeta-carotene desaturase],[evalue=2.33895E-79]
[locus_tag=PMM0145],[protein_id=CAE18604.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2274],[protein_id=CAK24700.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=9.32004E-52]
[locus_tag=PMM0146],[protein_id=CAE18605.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2275],[protein_id=CAK24701.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.04444E-90]
[locus_tag=PMM0147],[protein_id=CAE18606.1],[gene=rbcR],[protein=putative Rubisco transcriptional regulator],[locus_tag=SynWH7803_2276],[protein_id=CAK24702.1],[gene=rbcR],[protein=RuBisCO operon transcriptional regulator],[evalue=0.00000E+00]
[locus_tag=PMM0148],[protein_id=CAE18607.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2277],[protein_id=CAK24703.1],[gene=None],[protein=Conserved hypothetical membrane protein],[evalue=8.26171E-115]
[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 5)],[locus_tag=SynWH7803_2278],[protein_id=CAK24704.1],[gene=ndhF],[protein=NAD(P)H-quinone oxidoreductase chain 5],[evalue=0.00000E+00],[locus_tag=SynWH7803_0685],[protein_id=CAK23111.1],[gene=ndhF],[protein=NAD(P)H-quinone oxidoreductase chain 5],[evalue=2.13723E-49],[locus_tag=SynWH7803_0686],[protein_id=CAK23112.1],[gene=ndhD],[protein=NAD(P)H-quinone oxidoreductase chain 4],[evalue=8.30533E-28]
[locus_tag=PMM0150],[protein_id=CAE18609.1],[gene=ndhD],[protein=putative NADH dehydrogenase subunit (chain 4)],[locus_tag=SynWH7803_2280],[protein_id=CAK24706.1],[gene=ndhD],[protein=NAD(P)H-quinone oxidoreductase chain 4-1],[evalue=0.00000E+00],[locus_tag=SynWH7803_0772],[protein_id=CAK23198.1],[gene=ndhD],[protein=NAD(P)H-quinone oxidoreductase chain 4],[evalue=2.00904E-172],[locus_tag=SynWH7803_0686],[protein_id=CAK23112.1],[gene=ndhD],[protein=NAD(P)H-quinone oxidoreductase chain 4],[evalue=6.10829E-93]
[locus_tag=PMM0151],[protein_id=CAE18610.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2281],[protein_id=CAK24707.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.14142E-85]
[locus_tag=PMM0152],[protein_id=CAE18611.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase],[locus_tag=SynWH7803_2282],[protein_id=CAK24708.1],[gene=None],[protein=Nucleoside-diphosphate-sugar transferase],[evalue=0.00000E+00],[locus_tag=SynWH7803_1298],[protein_id=CAK23724.1],[gene=glgC],[protein=Glucose-1-phosphate adenylyltransferase],[evalue=3.44180E-14]
[locus_tag=PMM0153],[protein_id=CAE18612.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2283],[protein_id=CAK24709.1],[gene=metF],[protein=5-10-methylenetetrahydrofolate reductase],[evalue=3.91019E-133]
[locus_tag=PMM0154],[protein_id=CAE18613.1],[gene=None],"[protein=Bacterial regulatory protein, LuxR family]",[locus_tag=SynWH7803_2284],[protein_id=CAK24710.1],[gene=None],"[protein=Transcriptional regulator, luxR family]",[evalue=6.17210E-48],[locus_tag=SynWH7803_2309],[protein_id=CAK24735.1],[gene=None],[protein=Two-component system response regulator],[evalue=1.88938E-13],[locus_tag=SynWH7803_0899],[protein_id=CAK23325.1],[gene=None],[protein=Possible two component system response regulator],[evalue=3.28575E-12]
[locus_tag=PMM0155],[protein_id=CAE18614.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2286],[protein_id=CAK24712.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.65347E-31]
[locus_tag=PMM0156],[protein_id=CAE18615.1],[gene=None],[protein=predicted inorganic polyphosphate / ATP-NAD+ kinase],[locus_tag=SynWH7803_2287],[protein_id=CAK24713.1],[gene=ppnK],[protein=Inorganic polyphosphate/ATP-NAD kinase],[evalue=1.22560E-78],[locus_tag=SynWH7803_1710],[protein_id=CAK24136.1],[gene=ppnK],[protein=Probable inorganic polyphosphate/ATP-NAD kinase],[evalue=1.61523E-29]
[locus_tag=PMM0157],[protein_id=CAE18616.1],[gene=ndhE],[protein=putative NADH Dehydrogenase subunit],[locus_tag=SynWH7803_2288],[protein_id=CAK24714.1],[gene=ndhE],[protein=NAD(P)H-quinone oxidoreductase chain 4L],[evalue=3.31565E-56]
[locus_tag=PMM0158],[protein_id=CAE18617.1],[gene=ndhG],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 6)],[locus_tag=SynWH7803_2289],[protein_id=CAK24715.1],[gene=ndhG],[protein=NAD(P)H-quinone oxidoreductase chain 6],[evalue=3.32156E-90]
[locus_tag=PMM0159],[protein_id=CAE18618.1],[gene=ndhI],[protein=putative NADH Dehydrogenase subunit],[locus_tag=SynWH7803_2290],[protein_id=CAK24716.1],"[gene=ndhI, frxB]",[protein=NAD(P)H-quinone oxidoreductase subunit I],[evalue=3.94624E-116]
[locus_tag=PMM0160],[protein_id=CAE18619.1],[gene=ndhA],[protein=putative respiratory-chain NADH dehydrogenase subunit],[locus_tag=SynWH7803_2291],[protein_id=CAK24717.1],[gene=ndhA],[protein=NAD(P)H-quinone oxidoreductase chain 1],[evalue=0.00000E+00]
[locus_tag=PMM0161],[protein_id=CAE18620.1],[gene=gltA],[protein=Citrate synthase],[locus_tag=SynWH7803_2292],[protein_id=CAK24718.1],[gene=gltA],[protein=Citrate synthase],[evalue=0.00000E+00]
[locus_tag=PMM0163],[protein_id=CAE18622.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2295],[protein_id=CAK24721.1],[gene=pspE],[protein=Putative rhodanese-related sulfurtransferase],[evalue=2.44390E-30]
[locus_tag=PMM0164],[protein_id=CAE18623.1],[gene=trpB],"[protein=Tryptophan synthase, beta chain]",[locus_tag=SynWH7803_2299],[protein_id=CAK24725.1],[gene=trpB],[protein=Tryptophan synthase beta chain],[evalue=0.00000E+00]
[locus_tag=PMM0165],[protein_id=CAE18624.1],[gene=None],[protein=Translation initiation factor SUI1],[locus_tag=SynWH7803_2301],[protein_id=CAK24727.1],[gene=None],[protein=Translation initiation factor SUI1],[evalue=7.00265E-19]
[locus_tag=PMM0166],[protein_id=CAE18625.1],[gene=cysC],[protein=Adenylylsulfate kinase],[locus_tag=SynWH7803_2302],[protein_id=CAK24728.1],[gene=cysC],[protein=Adenylylsulfate kinase],[evalue=7.04622E-96]
[locus_tag=PMM0167],[protein_id=CAE18626.1],[gene=purE],[protein=Phosphoribosylaminoimidazole carboxylase],[locus_tag=SynWH7803_2304],[protein_id=CAK24730.1],[gene=purE],[protein=Phosphoribosylaminoimidazole carboxylase catalytic subunit],[evalue=6.96842E-67]
