[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=PMM0098],[protein_id=CAE18557.1],[gene=None],[protein=possible Fe-S oxidoreductase],[locus_tag=PMM0098],[protein_id=CAE18557.1],[gene=None],[protein=possible Fe-S oxidoreductase],[evalue=0.00000E+00]
[locus_tag=PMM0099],[protein_id=CAE18558.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0099],[protein_id=CAE18558.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0100],[protein_id=CAE18559.1],[gene=nadB],[protein=L-aspartate oxidase],[locus_tag=PMM0100],[protein_id=CAE18559.1],[gene=nadB],[protein=L-aspartate oxidase],[evalue=0.00000E+00]
[locus_tag=PMM0101],[protein_id=CAE18560.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0101],[protein_id=CAE18560.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0102],[protein_id=CAE18561.1],[gene=None],[protein=possible Fe-S oxidoreductase],[locus_tag=PMM0102],[protein_id=CAE18561.1],[gene=None],[protein=possible Fe-S oxidoreductase],[evalue=0.00000E+00],[locus_tag=PMM1305],[protein_id=CAE19764.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.18619E-56]
[locus_tag=PMM0103],[protein_id=CAE18562.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0103],[protein_id=CAE18562.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.26086E-91]
[locus_tag=PMM0104],[protein_id=CAE18563.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0104],[protein_id=CAE18563.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0105],[protein_id=CAE18564.1],[gene=ribG],[protein=RibD/ribG C-terminal domain],[locus_tag=PMM0105],[protein_id=CAE18564.1],[gene=ribG],[protein=RibD/ribG C-terminal domain],[evalue=1.19716E-162]
[locus_tag=PMM0106],[protein_id=CAE18565.1],[gene=None],[protein=6-pyruvoyl tetrahydropterin synthase],[locus_tag=PMM0106],[protein_id=CAE18565.1],[gene=None],[protein=6-pyruvoyl tetrahydropterin synthase],[evalue=0.00000E+00]
[locus_tag=PMM0107],[protein_id=CAE18566.1],[gene=aroK],[protein=Shikimate kinase],[locus_tag=PMM0107],[protein_id=CAE18566.1],[gene=aroK],[protein=Shikimate kinase],[evalue=9.80943E-134]
[locus_tag=PMM0108],[protein_id=CAE18567.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0108],[protein_id=CAE18567.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.47429E-59]
[locus_tag=PMM0109],[protein_id=CAE18568.1],[gene=None],[protein=None],[locus_tag=PMM0109],[protein_id=CAE18568.1],[gene=None],[protein=None],[evalue=1.17551E-177]
[locus_tag=PMM0110],[protein_id=CAE18569.1],[gene=None],[protein=putative glutathione S-transferase],[locus_tag=PMM0110],[protein_id=CAE18569.1],[gene=None],[protein=putative glutathione S-transferase],[evalue=1.42931E-180]
[locus_tag=PMM0111],[protein_id=CAE18570.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0111],[protein_id=CAE18570.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.78536E-46]
[locus_tag=PMM0112],[protein_id=CAE18571.1],[gene=rbfA],[protein=Ribosome-binding factor A],[locus_tag=PMM0112],[protein_id=CAE18571.1],[gene=rbfA],[protein=Ribosome-binding factor A],[evalue=2.69280E-94]
[locus_tag=PMM0113],[protein_id=CAE18572.1],[gene=hemD],[protein=putative uroporphyrinogen III synthase],[locus_tag=PMM0113],[protein_id=CAE18572.1],[gene=hemD],[protein=putative uroporphyrinogen III synthase],[evalue=0.00000E+00]
[locus_tag=PMM0114],[protein_id=CAE18573.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0114],[protein_id=CAE18573.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.42578E-115]
[locus_tag=PMM0115],[protein_id=CAE18574.1],[gene=crtQ],[protein=zeta-carotene desaturase],[locus_tag=PMM0115],[protein_id=CAE18574.1],[gene=crtQ],[protein=zeta-carotene desaturase],[evalue=0.00000E+00],[locus_tag=PMM0144],[protein_id=CAE18603.1],[gene=None],[protein=phytoene desaturase],[evalue=1.60649E-84]
[locus_tag=PMM0116],[protein_id=CAE18575.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0116],[protein_id=CAE18575.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.59642E-94]
[locus_tag=PMM0117],[protein_id=CAE18576.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0117],[protein_id=CAE18576.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.77366E-105]
[locus_tag=PMM0118],[protein_id=CAE18577.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0118],[protein_id=CAE18577.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00],[locus_tag=PMM1586],[protein_id=CAE20045.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.02807E-36]
[locus_tag=PMM0119],[protein_id=CAE18578.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0119],[protein_id=CAE18578.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.58606E-58]
[locus_tag=PMM0120],[protein_id=CAE18579.1],[gene=None],[protein=putative cell division inhibitor],[locus_tag=PMM0120],[protein_id=CAE18579.1],[gene=None],[protein=putative cell division inhibitor],[evalue=0.00000E+00]
[locus_tag=PMM0121],[protein_id=CAE18580.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0121],[protein_id=CAE18580.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.55259E-55]
[locus_tag=PMM0122],[protein_id=CAE18581.1],[gene=None],[protein=possible heat shock protein DnaJ],[locus_tag=PMM0122],[protein_id=CAE18581.1],[gene=None],[protein=possible heat shock protein DnaJ],[evalue=5.49759E-170]
[locus_tag=PMM0123],[protein_id=CAE18582.1],[gene=cysK2],[protein=None],[locus_tag=PMM0123],[protein_id=CAE18582.1],[gene=cysK2],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0407],[protein_id=CAE18866.1],[gene=cysK1],[protein=None],[evalue=7.16432E-80]
[locus_tag=PMM0124],[protein_id=CAE18583.1],[gene=None],[protein=conserved hypothetical protein in cyanobacteria],[locus_tag=PMM0124],[protein_id=CAE18583.1],[gene=None],[protein=conserved hypothetical protein in cyanobacteria],[evalue=1.14200E-61]
[locus_tag=PMM0125],[protein_id=CAE18584.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[locus_tag=PMM0125],[protein_id=CAE18584.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[evalue=1.03007E-168],[locus_tag=PMM0803],[protein_id=CAE19262.1],[gene=None],"[protein=ABC transporter, ATP binding component, possibly iron transporter]",[evalue=1.91647E-23],[locus_tag=PMM0666],[protein_id=CAE19125.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[evalue=1.82920E-22]
[locus_tag=PMM0126],[protein_id=CAE18585.1],[gene=None],[protein=possible Herpesvirus UL6 like],[locus_tag=PMM0126],[protein_id=CAE18585.1],[gene=None],[protein=possible Herpesvirus UL6 like],[evalue=0.00000E+00]
[locus_tag=PMM0127],[protein_id=CAE18586.1],[gene=None],[protein=possible Signal peptide binding domain],[locus_tag=PMM0127],[protein_id=CAE18586.1],[gene=None],[protein=possible Signal peptide binding domain],[evalue=2.91687E-83]
[locus_tag=PMM0128],[protein_id=CAE18587.1],[gene=rpaA],[protein=two-component response regulator],[locus_tag=PMM0128],[protein_id=CAE18587.1],[gene=rpaA],[protein=two-component response regulator],[evalue=0.00000E+00],[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator],[evalue=3.69053E-56],[locus_tag=PMM0705],[protein_id=CAE19164.1],[gene=phoB],"[protein=two-component response regulator, phosphate]",[evalue=9.92948E-51]
[locus_tag=PMM0129],[protein_id=CAE18588.1],[gene=holB],"[protein=DNA polymerase III, delta prime subunit]",[locus_tag=PMM0129],[protein_id=CAE18588.1],[gene=holB],"[protein=DNA polymerase III, delta prime subunit]",[evalue=0.00000E+00],[locus_tag=PMM1658],[protein_id=CAE20117.1],[gene=dnaX],"[protein=DNA polymerase, gamma and tau subunits]",[evalue=1.94349E-13]
[locus_tag=PMM0130],[protein_id=CAE18589.1],[gene=None],[protein=Thymidylate kinase],[locus_tag=PMM0130],[protein_id=CAE18589.1],[gene=None],[protein=Thymidylate kinase],[evalue=1.90844E-158]
[locus_tag=PMM0131],[protein_id=CAE18590.1],[gene=None],[protein=putative P-type ATPase transporter for copper],[locus_tag=PMM0131],[protein_id=CAE18590.1],[gene=None],[protein=putative P-type ATPase transporter for copper],[evalue=0.00000E+00]
[locus_tag=PMM0132],[protein_id=CAE18591.1],[gene=None],[protein=cyanobacterial conserved hypothetical],[locus_tag=PMM0132],[protein_id=CAE18591.1],[gene=None],[protein=cyanobacterial conserved hypothetical],[evalue=1.28293E-128]
[locus_tag=PMM0133],[protein_id=CAE18592.1],[gene=radA],[protein=putative DNA repair protein RadA],[locus_tag=PMM0133],[protein_id=CAE18592.1],[gene=radA],[protein=putative DNA repair protein RadA],[evalue=0.00000E+00]
[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator],[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator],[evalue=0.00000E+00],[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator],[evalue=5.13516E-87],[locus_tag=PMM0128],[protein_id=CAE18587.1],[gene=rpaA],[protein=two-component response regulator],[evalue=3.64642E-56]
[locus_tag=PMM0135],[protein_id=CAE18594.1],[gene=plsX],[protein=fatty acid/phospholipid synthesis protein PlsX],[locus_tag=PMM0135],[protein_id=CAE18594.1],[gene=plsX],[protein=fatty acid/phospholipid synthesis protein PlsX],[evalue=0.00000E+00]
[locus_tag=PMM0136],[protein_id=CAE18595.1],[gene=fabH],[protein=None],[locus_tag=PMM0136],[protein_id=CAE18595.1],[gene=fabH],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0137],[protein_id=CAE18596.1],[gene=fabD],[protein=Malonyl coenzyme A-acyl carrier protein transacylase],[locus_tag=PMM0137],[protein_id=CAE18596.1],[gene=fabD],[protein=Malonyl coenzyme A-acyl carrier protein transacylase],[evalue=0.00000E+00]
[locus_tag=PMM0138],[protein_id=CAE18597.1],[gene=plsC],[protein=putative 1-acyl-sn-glycerol-3-phosphate acyltransferase],[locus_tag=PMM0138],[protein_id=CAE18597.1],[gene=plsC],[protein=putative 1-acyl-sn-glycerol-3-phosphate acyltransferase],[evalue=2.43430E-150]
[locus_tag=PMM0139],[protein_id=CAE18598.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0139],[protein_id=CAE18598.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.88254E-160]
[locus_tag=PMM0140],[protein_id=CAE18599.1],[gene=ycf34],[protein=putative Ycf34],[locus_tag=PMM0140],[protein_id=CAE18599.1],[gene=ycf34],[protein=putative Ycf34],[evalue=3.91711E-59]
[locus_tag=PMM0141],[protein_id=CAE18600.1],[gene=None],[protein=Poly A polymerase family],[locus_tag=PMM0141],[protein_id=CAE18600.1],[gene=None],[protein=Poly A polymerase family],[evalue=0.00000E+00],[locus_tag=PMM0303],[protein_id=CAE18762.1],[gene=None],[protein=None],[evalue=6.28954E-17]
[locus_tag=PMM0142],[protein_id=CAE18601.1],[gene=None],[protein=None],[locus_tag=PMM0142],[protein_id=CAE18601.1],[gene=None],[protein=None],[evalue=3.47686E-101]
[locus_tag=PMM0143],[protein_id=CAE18602.1],[gene=None],[protein=Squalene and phytoene synthases],[locus_tag=PMM0143],[protein_id=CAE18602.1],[gene=None],[protein=Squalene and phytoene synthases],[evalue=0.00000E+00]
[locus_tag=PMM0144],[protein_id=CAE18603.1],[gene=None],[protein=phytoene desaturase],[locus_tag=PMM0144],[protein_id=CAE18603.1],[gene=None],[protein=phytoene desaturase],[evalue=0.00000E+00],[locus_tag=PMM0115],[protein_id=CAE18574.1],[gene=crtQ],[protein=zeta-carotene desaturase],[evalue=1.56998E-84]
[locus_tag=PMM0145],[protein_id=CAE18604.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0145],[protein_id=CAE18604.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.62093E-84]
[locus_tag=PMM0146],[protein_id=CAE18605.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0146],[protein_id=CAE18605.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.33728E-155]
[locus_tag=PMM0147],[protein_id=CAE18606.1],[gene=rbcR],[protein=putative Rubisco transcriptional regulator],[locus_tag=PMM0147],[protein_id=CAE18606.1],[gene=rbcR],[protein=putative Rubisco transcriptional regulator],[evalue=0.00000E+00]
[locus_tag=PMM0148],[protein_id=CAE18607.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0148],[protein_id=CAE18607.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.72573E-178]
[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=None],[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0435],[protein_id=CAE18894.1],[gene=ndhB],[protein=None],[evalue=1.78401E-13],[locus_tag=PMM0594],[protein_id=CAE19053.1],[gene=ndhD],[protein=None],[evalue=5.16550E-13]
[locus_tag=PMM0150],[protein_id=CAE18609.1],[gene=ndhD],[protein=None],[locus_tag=PMM0150],[protein_id=CAE18609.1],[gene=ndhD],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0594],[protein_id=CAE19053.1],[gene=ndhD],[protein=None],[evalue=1.21161E-156],[locus_tag=PMM0435],[protein_id=CAE18894.1],[gene=ndhB],[protein=None],[evalue=6.21648E-14]
[locus_tag=PMM0151],[protein_id=CAE18610.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0151],[protein_id=CAE18610.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.56957E-177]
[locus_tag=PMM0152],[protein_id=CAE18611.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase],[locus_tag=PMM0152],[protein_id=CAE18611.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase],[evalue=0.00000E+00],[locus_tag=PMM1216],[protein_id=CAE19675.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase],[evalue=5.19168E-23],[locus_tag=PMM1204],[protein_id=CAE19663.1],[gene=None],[protein=glucose-1-phosphate cytidylyltransferase],[evalue=2.21438E-18]
[locus_tag=PMM0153],[protein_id=CAE18612.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0153],[protein_id=CAE18612.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0154],[protein_id=CAE18613.1],[gene=None],"[protein=Bacterial regulatory protein, LuxR family]",[locus_tag=PMM0154],[protein_id=CAE18613.1],[gene=None],"[protein=Bacterial regulatory protein, LuxR family]",[evalue=1.12009E-66],[locus_tag=PMM0169],[protein_id=CAE18628.1],[gene=None],[protein=two-component response regulator],[evalue=2.17938E-13]
[locus_tag=PMM0155],[protein_id=CAE18614.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0155],[protein_id=CAE18614.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.62667E-116]
[locus_tag=PMM0156],[protein_id=CAE18615.1],[gene=None],[protein=None],[locus_tag=PMM0156],[protein_id=CAE18615.1],[gene=None],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM1269],[protein_id=CAE19728.1],[gene=None],[protein=predicted sugar kinase],[evalue=1.11182E-26]
[locus_tag=PMM0157],[protein_id=CAE18616.1],[gene=ndhE],[protein=putative NADH Dehydrogenase subunit],[locus_tag=PMM0157],[protein_id=CAE18616.1],[gene=ndhE],[protein=putative NADH Dehydrogenase subunit],[evalue=1.13879E-72]
[locus_tag=PMM0158],[protein_id=CAE18617.1],[gene=ndhG],[protein=None],[locus_tag=PMM0158],[protein_id=CAE18617.1],[gene=ndhG],[protein=None],[evalue=8.43711E-142]
[locus_tag=PMM0159],[protein_id=CAE18618.1],[gene=ndhI],[protein=putative NADH Dehydrogenase subunit],[locus_tag=PMM0159],[protein_id=CAE18618.1],[gene=ndhI],[protein=putative NADH Dehydrogenase subunit],[evalue=5.40652E-158]
[locus_tag=PMM0160],[protein_id=CAE18619.1],[gene=ndhA],[protein=putative respiratory-chain NADH dehydrogenase subunit],[locus_tag=PMM0160],[protein_id=CAE18619.1],[gene=ndhA],[protein=putative respiratory-chain NADH dehydrogenase subunit],[evalue=0.00000E+00]
[locus_tag=PMM0161],[protein_id=CAE18620.1],[gene=gltA],[protein=Citrate synthase],[locus_tag=PMM0161],[protein_id=CAE18620.1],[gene=gltA],[protein=Citrate synthase],[evalue=0.00000E+00]
[locus_tag=PMM0162],[protein_id=CAE18621.1],[gene=None],[protein=hypothetical],[locus_tag=PMM0162],[protein_id=CAE18621.1],[gene=None],[protein=hypothetical],[evalue=0.00000E+00]
[locus_tag=PMM0163],[protein_id=CAE18622.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0163],[protein_id=CAE18622.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.11237E-85]
[locus_tag=PMM0164],[protein_id=CAE18623.1],[gene=trpB],"[protein=Tryptophan synthase, beta chain]",[locus_tag=PMM0164],[protein_id=CAE18623.1],[gene=trpB],"[protein=Tryptophan synthase, beta chain]",[evalue=0.00000E+00]
[locus_tag=PMM0165],[protein_id=CAE18624.1],[gene=None],[protein=Translation initiation factor SUI1],[locus_tag=PMM0165],[protein_id=CAE18624.1],[gene=None],[protein=Translation initiation factor SUI1],[evalue=3.76860E-68]
[locus_tag=PMM0166],[protein_id=CAE18625.1],[gene=cysC],[protein=Adenylylsulfate kinase],[locus_tag=PMM0166],[protein_id=CAE18625.1],[gene=cysC],[protein=Adenylylsulfate kinase],[evalue=4.75722E-156]
[locus_tag=PMM0167],[protein_id=CAE18626.1],[gene=purE],[protein=Phosphoribosylaminoimidazole carboxylase],[locus_tag=PMM0167],[protein_id=CAE18626.1],[gene=purE],[protein=Phosphoribosylaminoimidazole carboxylase],[evalue=2.18199E-119]
[locus_tag=PMM0168],[protein_id=CAE18627.1],[gene=chlM],[protein=Mg-protoporphyrin IX methyltransferase],[locus_tag=PMM0168],[protein_id=CAE18627.1],[gene=chlM],[protein=Mg-protoporphyrin IX methyltransferase],[evalue=6.58268E-176]
[locus_tag=PMM0169],[protein_id=CAE18628.1],[gene=None],[protein=two-component response regulator],[locus_tag=PMM0169],[protein_id=CAE18628.1],[gene=None],[protein=two-component response regulator],[evalue=1.18677E-180],[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator],[evalue=1.07705E-26],[locus_tag=PMM0128],[protein_id=CAE18587.1],[gene=rpaA],[protein=two-component response regulator],[evalue=3.15381E-26]
[locus_tag=PMM0170],[protein_id=CAE18629.1],[gene=None],[protein=NifS-like aminotransferase class-V],[locus_tag=PMM0170],[protein_id=CAE18629.1],[gene=None],[protein=NifS-like aminotransferase class-V],[evalue=0.00000E+00],[locus_tag=PMM0887],[protein_id=CAE19346.1],[gene=nifS],[protein=None],[evalue=1.18549E-41],[locus_tag=PMM0070],[protein_id=CAE18529.1],[gene=None],[protein=putative cysteine desulfurase or selenocysteine lyase],[evalue=5.06050E-23]
[locus_tag=PMM0171],[protein_id=CAE18630.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0171],[protein_id=CAE18630.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0172],[protein_id=CAE18631.1],[gene=ndhH],[protein=putative NADH dehydrogenase subunit],[locus_tag=PMM0172],[protein_id=CAE18631.1],[gene=ndhH],[protein=putative NADH dehydrogenase subunit],[evalue=0.00000E+00]
[locus_tag=PMM0173],[protein_id=CAE18632.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0173],[protein_id=CAE18632.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.10828E-109]
