[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_0112],[protein_id=AHF62532.1],[gene=infC],[protein=translation initiation factor IF-3],[locus_tag=PMT_0119],[protein_id=CAE20294.1],[gene=infC],[protein=Translatioin Initiation factor 3],[evalue=2.16202E-127]
[locus_tag=Syncc8109_0113],[protein_id=AHF62533.1],[gene=miaA],[protein=tRNA delta(2)-isopentenylpyrophosphate transferase],[locus_tag=PMT_0120],[protein_id=CAE20295.1],"[gene=miaA,trpX]",[protein=tRNA delta-2-isopentenylpyrophosphate (IPP) transferase],[evalue=1.10539E-140]
[locus_tag=Syncc8109_0114],[protein_id=AHF62534.1],[gene=gyrB],"[protein=DNA gyrase, B subunit]",[locus_tag=PMT_0121],[protein_id=CAE20296.1],[gene=gyrB],"[protein=DNA gyrase, subunit B]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_0115],[protein_id=AHF62535.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0122],[protein_id=CAE20297.1],[gene=None],[protein=conserved hypothetical],[evalue=3.40077E-23]
[locus_tag=Syncc8109_0116],[protein_id=AHF62536.1],[gene=None],[protein=integral membrane protein possibly involved in chromosome condensation],[locus_tag=PMT_0123],[protein_id=CAE20298.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.67597E-48],[locus_tag=PMT_0124],[protein_id=CAE20299.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.44391E-11]
[locus_tag=Syncc8109_0117],[protein_id=AHF62537.1],[gene=None],[protein=putative integral membrane protein],[locus_tag=PMT_0124],[protein_id=CAE20299.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.18764E-38],[locus_tag=PMT_0123],[protein_id=CAE20298.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.03228E-09]
[locus_tag=Syncc8109_0118],[protein_id=AHF62538.1],[gene=None],[protein=glutathione peroxidase],[locus_tag=PMT_0125],[protein_id=CAE20300.1],[gene=None],[protein=Glutathione peroxidase],[evalue=7.77831E-89]
[locus_tag=Syncc8109_0119],[protein_id=AHF62539.1],[gene=mgtE],[protein=magnesium transporter],[locus_tag=PMT_0126],[protein_id=CAE20301.1],[gene=None],"[protein=MgtE family, putative magnesium transport protein]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_0120],[protein_id=AHF62540.1],[gene=None],"[protein=type II alternative RNA polymerase sigma factor, sigma-70 family]",[locus_tag=PMT_0127],[protein_id=CAE20302.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=0.00000E+00],[locus_tag=PMT_1068],[protein_id=CAE21243.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=0.00000E+00],[locus_tag=PMT_2217],[protein_id=CAE22391.1],[gene=None],[protein=Putative type II alternative RNA polymerase sigma factor],[evalue=6.08511E-92]
[locus_tag=Syncc8109_0121],[protein_id=AHF62541.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0128],[protein_id=CAE20303.1],[gene=None],"[protein=possible hydrolase, alpha/beta hydrolase superfamily]",[evalue=1.18399E-134],[locus_tag=PMT_1943],[protein_id=CAE22117.1],[gene=None],[protein=possible alpha/beta hydrolase superfamily],[evalue=2.86737E-48],[locus_tag=PMT_1175],[protein_id=CAE21350.1],[gene=None],[protein=predicted alpha/beta hydrolase superfamily protein],[evalue=4.55360E-30]
[locus_tag=Syncc8109_0122],[protein_id=AHF62542.1],[gene=mutY],[protein=mutator mutT protein],[locus_tag=PMT_0135],[protein_id=CAE20310.1],[gene=None],[protein=probable adenine glycosylase],[evalue=9.69231E-178]
[locus_tag=Syncc8109_0123],[protein_id=AHF62543.1],[gene=None],[protein=putative fructokinase],[locus_tag=PMT_0136],[protein_id=CAE20311.1],[gene=None],[protein=Putative carbohydrate kinase],[evalue=2.03465E-138],[locus_tag=PMT_1262],[protein_id=CAE21437.1],[gene=None],[protein=Possible carbohydrate kinase],[evalue=1.11094E-07]
[locus_tag=Syncc8109_0124],[protein_id=AHF62544.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0137],[protein_id=CAE20312.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.04986E-59]
[locus_tag=Syncc8109_0125],[protein_id=AHF62545.1],[gene=ahcY],[protein=adenosylhomocysteinase],[locus_tag=PMT_0138],[protein_id=CAE20313.1],"[gene=ahcY, sahH]",[protein=putative adenosylhomocysteinase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0126],[protein_id=AHF62546.1],[gene=None],[protein=putative alkaline phosphatase-like protein],[locus_tag=PMT_0140],[protein_id=CAE20315.1],[gene=None],[protein=DedA family; putative alkaline phosphatase-like protein],[evalue=1.15431E-114]
[locus_tag=Syncc8109_0127],[protein_id=AHF62547.1],[gene=ssb],[protein=single-strand binding protein],[locus_tag=PMT_0141],[protein_id=CAE20316.1],[gene=ssb],[protein=single-stranded DNA-binding protein],[evalue=1.04385E-72]
[locus_tag=Syncc8109_0128],[protein_id=AHF62548.1],[gene=mreB],"[protein=cell shape determining protein, MreB/Mrl family]",[locus_tag=PMT_0142],[protein_id=CAE20317.1],[gene=mreB],[protein=Rod shape determining protein],[evalue=0.00000E+00],[locus_tag=PMT_2255],[protein_id=CAE22429.1],[gene=dnaK2],"[protein=Molecular chaperone DnaK2, heat shock protein hsp70-2]",[evalue=1.26069E-10],[locus_tag=PMT_1444],[protein_id=CAE21619.1],[gene=None],[protein=putative DnaK-type molecular chaperone (HSP70 family)],[evalue=9.04647E-07]
[locus_tag=Syncc8109_0129],[protein_id=AHF62549.1],[gene=mreC],[protein=putative rod shape-determining protein],[locus_tag=PMT_0143],[protein_id=CAE20318.1],[gene=mreC],[protein=putative rod shape-determining protein],[evalue=2.00872E-107]
[locus_tag=Syncc8109_0130],[protein_id=AHF62550.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0144],[protein_id=CAE20319.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.49764E-59]
[locus_tag=Syncc8109_0131],[protein_id=AHF62551.1],[gene=None],[protein=Twin-arginine translocation pathway signal],[locus_tag=PMT_0145],[protein_id=CAE20320.1],[gene=None],"[protein=Bacterial extracellular solute-binding protein, family 1]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_0132],[protein_id=AHF62552.1],[gene=None],"[protein=two component transcriptional regulator, winged helix family]",[locus_tag=PMT_0146],[protein_id=CAE20321.1],[gene=None],[protein=two-component response regulator],[evalue=1.50041E-153],[locus_tag=PMT_1994],[protein_id=CAE22168.1],[gene=rpaB],[protein=two-component response regulator],[evalue=8.37066E-94],[locus_tag=PMT_1988],[protein_id=CAE22162.1],[gene=rpaA],[protein=two-component response regulator],[evalue=2.30413E-48]
[locus_tag=Syncc8109_0133],[protein_id=AHF62553.1],[gene=lysS],[protein=lysyl-tRNA synthetase],[locus_tag=PMT_0147],[protein_id=CAE20322.1],[gene=lysS],[protein=Lysyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=PMT_2216],[protein_id=CAE22390.1],[gene=aspS],[protein=Aspartyl-tRNA synthetase],[evalue=3.24999E-18],[locus_tag=PMT_2216],[protein_id=CAE22390.1],[gene=aspS],[protein=Aspartyl-tRNA synthetase],[evalue=2.09181E-09]
[locus_tag=Syncc8109_0134],[protein_id=AHF62554.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0148],[protein_id=CAE20323.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.23701E-60]
[locus_tag=Syncc8109_0135],[protein_id=AHF62555.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0149],[protein_id=CAE20324.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.23500E-46]
[locus_tag=Syncc8109_0136],[protein_id=AHF62556.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0150],[protein_id=CAE20325.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.62672E-19]
[locus_tag=Syncc8109_0137],[protein_id=AHF62557.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0151],[protein_id=CAE20326.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.74363E-133]
[locus_tag=Syncc8109_0138],[protein_id=AHF62558.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0152],[protein_id=CAE20327.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0139],[protein_id=AHF62559.1],[gene=None],[protein=serine/threonine protein kinase],[locus_tag=PMT_0154],[protein_id=CAE20329.1],[gene=None],[protein=Eukaryotic protein kinase:Serine/Threonine protein kinase],[evalue=1.05133E-157]
[locus_tag=Syncc8109_0140],[protein_id=AHF62560.1],[gene=smpB],[protein=SsrA-binding protein],[locus_tag=PMT_0155],[protein_id=CAE20330.1],[gene=smpB],[protein=tmRNA binding protein SmpB],[evalue=1.64277E-89]
[locus_tag=Syncc8109_0141],[protein_id=AHF62561.1],[gene=ruvB],[protein=Holliday junction DNA helicase RuvB],[locus_tag=PMT_0156],[protein_id=CAE20331.1],[gene=ruvB],[protein=Holliday junction DNA helicase RuvB],[evalue=2.09223E-179],[locus_tag=PMT_1618],[protein_id=CAE21793.1],[gene=yrvN],"[protein=putative ATPase, AAA family]",[evalue=2.66083E-09],[locus_tag=PMT_0061],[protein_id=CAE20236.1],[gene=clpX],"[protein=putative Clp protease ATP-binding subunit, ClpX]",[evalue=3.49983E-06]
[locus_tag=Syncc8109_0142],[protein_id=AHF62562.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0157],[protein_id=CAE20332.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.66923E-105],[locus_tag=PMT_0296],[protein_id=CAE20471.1],[gene=None],[protein=TPR repeat],[evalue=1.23197E-23],[locus_tag=PMT_0296],[protein_id=CAE20471.1],[gene=None],[protein=TPR repeat],[evalue=2.20611E-17]
[locus_tag=Syncc8109_0143],[protein_id=AHF62563.1],[gene=None],"[protein=Peptidase M20D, amidohydrolase]",[locus_tag=PMT_0158],[protein_id=CAE20333.1],[gene=None],[protein=Zinc metallopeptidase M20/M25/M40 family],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0144],[protein_id=AHF62564.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0159],[protein_id=CAE20334.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.43492E-16]
[locus_tag=Syncc8109_0146],[protein_id=AHF62566.1],[gene=thiC],[protein=thiamine biosynthesis protein ThiC],[locus_tag=PMT_0160],[protein_id=CAE20335.1],[gene=thiC],[protein=ThiC family],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0147],[protein_id=AHF62567.1],[gene=tktA],[protein=transketolase],[locus_tag=PMT_1957],[protein_id=CAE22131.1],"[gene=tktA, cbbT]",[protein=Transketolase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0148],[protein_id=AHF62568.1],[gene=fabF],[protein=3-oxoacyl-(acyl-carrier-protein) synthase II],[locus_tag=PMT_1956],[protein_id=CAE22130.1],[gene=fabF],[protein=3-oxoacyl-[acyl-carrier-protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0149],[protein_id=AHF62569.1],[gene=acpP],[protein=acyl carrier protein (ACP)],[locus_tag=PMT_1955],[protein_id=CAE22129.1],"[gene=acpP,acp]",[protein=acyl carrier protein (ACP)],[evalue=8.78058E-51]
[locus_tag=Syncc8109_0150],[protein_id=AHF62570.1],[gene=psaC],[protein=photosystem I iron-sulfur center subunit VII (PsaC)],[locus_tag=PMT_1954],[protein_id=CAE22128.1],[gene=psaC],[protein=Photosystem I subunit PsaC],[evalue=5.35150E-55]
[locus_tag=Syncc8109_0151],[protein_id=AHF62571.1],[gene=glmS],"[protein=glucosamine--fructose-6-phosphate aminotransferase, isomerizing]",[locus_tag=PMT_1953],[protein_id=CAE22127.1],[gene=glmS],[protein=Glutamine--fructose-6-phosphate transaminase (isomerizing)],[evalue=0.00000E+00],[locus_tag=PMT_0004],[protein_id=CAE20179.1],[gene=purF],[protein=Glutamine amidotransferase class-II:Phosphoribosyl transferase],[evalue=2.92288E-17]
[locus_tag=Syncc8109_0152],[protein_id=AHF62572.1],[gene=manC],[protein=Mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase],[locus_tag=PMT_1952],[protein_id=CAE22126.1],[gene=manC],[protein=GDP-mannose pyrophosphorylase],[evalue=0.00000E+00],[locus_tag=PMT_1084],[protein_id=CAE21259.1],[gene=None],[protein=possible sugar-phosphate nucleotidyl transferase],[evalue=4.71982E-21]
[locus_tag=Syncc8109_0153],[protein_id=AHF62573.1],[gene=rimM],[protein=16S rRNA processing protein RimM],[locus_tag=PMT_1951],[protein_id=CAE22125.1],[gene=rimM],[protein=possible 16S rRNA processing protein RimM],[evalue=4.10382E-82]
[locus_tag=Syncc8109_0154],[protein_id=AHF62574.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1950],[protein_id=CAE22124.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.95674E-26]
[locus_tag=Syncc8109_0155],[protein_id=AHF62575.1],[gene=None],"[protein=putative potassium channel, VIC family]",[locus_tag=PMT_0217],[protein_id=CAE20392.1],[gene=None],"[protein=possible potassium channel, VIC family]",[evalue=3.48721E-20],[locus_tag=PMT_1024],[protein_id=CAE21199.1],[gene=None],"[protein=possible potassium channel, VIC family]",[evalue=8.27910E-17],[locus_tag=PMT_0515],[protein_id=CAE20690.1],[gene=None],[protein=possible ligand gated channel (GIC family)],[evalue=1.06958E-06]
[locus_tag=Syncc8109_0156],[protein_id=AHF62576.1],[gene=rnc],[protein=Ribonuclease III],[locus_tag=PMT_1949],[protein_id=CAE22123.1],[gene=rnc],[protein=putative ribonuclease III],[evalue=1.21377E-80]
[locus_tag=Syncc8109_0159],[protein_id=AHF62577.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1948],[protein_id=CAE22122.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.75549E-57]
[locus_tag=Syncc8109_0160],[protein_id=AHF62578.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1947],[protein_id=CAE22121.1],[gene=None],[protein=conserved hypothetical],[evalue=2.50988E-91]
[locus_tag=Syncc8109_0161],[protein_id=AHF62579.1],[gene=None],[protein=Glycogen/starch/alpha-glucan phosphorylase],[locus_tag=PMT_1946],[protein_id=CAE22120.1],[gene=None],[protein=Phosphorylase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0162],[protein_id=AHF62580.1],[gene=None],"[protein=putative Na+/H+ antiporter, CPA2 family protein]",[locus_tag=PMT_1944],[protein_id=CAE22118.1],[gene=None],"[protein=putative Na+/H+ antiporter, CPA2 family]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_0164],[protein_id=AHF62582.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1943],[protein_id=CAE22117.1],[gene=None],[protein=possible alpha/beta hydrolase superfamily],[evalue=1.25597E-124],[locus_tag=PMT_0128],[protein_id=CAE20303.1],[gene=None],"[protein=possible hydrolase, alpha/beta hydrolase superfamily]",[evalue=6.93096E-49],[locus_tag=PMT_1175],[protein_id=CAE21350.1],[gene=None],[protein=predicted alpha/beta hydrolase superfamily protein],[evalue=5.24817E-27]
[locus_tag=Syncc8109_0165],[protein_id=AHF62583.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1942],[protein_id=CAE22116.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.49102E-139]
[locus_tag=Syncc8109_0166],[protein_id=AHF62584.1],[gene=glcE],[protein=putative glycolate oxidase subunit GlcE],[locus_tag=PMT_1939],[protein_id=CAE22113.1],[gene=glcE],[protein=putative glycolate oxidase subunit GlcE],[evalue=4.61887E-144],[locus_tag=PMT_1295],[protein_id=CAE21470.1],[gene=glcD],[protein=putative glycolate oxidase subunit glcD],[evalue=1.17121E-09]
[locus_tag=Syncc8109_0167],[protein_id=AHF62585.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1938],[protein_id=CAE22112.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.41514E-179]
[locus_tag=Syncc8109_0168],[protein_id=AHF62586.1],[gene=None],[protein=putative glycolate oxidase subunit (Fe-S) protein],[locus_tag=PMT_1937],[protein_id=CAE22111.1],[gene=None],[protein=Fe-S oxidoreductase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0169],[protein_id=AHF62587.1],[gene=icd],[protein=Isocitrate dehydrogenase],[locus_tag=PMT_1935],[protein_id=CAE22109.1],[gene=icd],[protein=Isocitrate dehydrogenase],[evalue=0.00000E+00],[locus_tag=PMT_0531],[protein_id=CAE20706.1],[gene=leuB],[protein=3-isopropylmalate dehydrogenase],[evalue=7.30518E-16]
[locus_tag=Syncc8109_0174],[protein_id=AHF62592.1],[gene=ho1],[protein=Heme oxygenase (decyclizing)],[locus_tag=PMT_1685],[protein_id=CAE21860.1],[gene=ho1],[protein=Heme oxygenase],[evalue=3.61776E-127],[locus_tag=PMT_1932],[protein_id=CAE22106.1],[gene=None],[protein=possible heme oxygenase],[evalue=1.46642E-13]
[locus_tag=Syncc8109_0175],[protein_id=AHF62593.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1930],[protein_id=CAE22105.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.30581E-122]
[locus_tag=Syncc8109_0179],[protein_id=AHF62597.1],[gene=pcrA],[protein=ATP-dependent DNA helicase PcrA],[locus_tag=PMT_1917],[protein_id=CAE22092.1],[gene=uvrD],[protein=UvrD/REP helicase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0180],[protein_id=AHF62598.1],[gene=None],[protein=putative polyA polymerase],[locus_tag=PMT_1910],[protein_id=CAE22085.1],[gene=None],[protein=tRNA nucleotidyltransferase/poly(A) polymerase],[evalue=1.06376E-116],[locus_tag=PMT_2001],[protein_id=CAE22175.1],[gene=None],[protein=Poly A polymerase family],[evalue=3.44845E-09]
[locus_tag=Syncc8109_0184],[protein_id=AHF62599.1],[gene=None],"[protein=Selenide,water dikinase]",[locus_tag=PMT_1909],[protein_id=CAE22084.1],[gene=selD],"[protein=Selenide,water dikinase]",[evalue=0.00000E+00],[locus_tag=PMT_1806],[protein_id=CAE21981.1],[gene=None],[protein=NADH dehydrogenase],[evalue=7.81527E-06]
[locus_tag=Syncc8109_0185],[protein_id=AHF62600.1],[gene=galE],[protein=UDP-glucose 4-epimerase],[locus_tag=PMT_1907],[protein_id=CAE22082.1],[gene=galE],[protein=UDP-glucose-4-epimerase],[evalue=2.15929E-165],[locus_tag=PMT_0086],[protein_id=CAE20261.1],[gene=None],[protein=Possible UDP-glucose-4-epimerase],[evalue=7.10081E-21],[locus_tag=PMT_1903],[protein_id=CAE22078.1],[gene=None],[protein=Putative nucleotide sugar epimerase],[evalue=1.22406E-18]
[locus_tag=Syncc8109_0186],[protein_id=AHF62601.1],[gene=hisS],[protein=histidyl-tRNA synthetase],[locus_tag=PMT_1905],[protein_id=CAE22080.1],[gene=hisS],[protein=Histidyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=PMT_0698],[protein_id=CAE20873.1],[gene=hisS],"[protein=tRNA synthetases, class-II (G, H, P and S)]",[evalue=4.47641E-10]
[locus_tag=Syncc8109_0187],[protein_id=AHF62602.1],[gene=None],[protein=putative nucleoside-diphosphate sugar epimerase],[locus_tag=PMT_1958],[protein_id=CAE22132.1],[gene=rfbB],[protein=NAD dependent epimerase/dehydratase family],[evalue=0.00000E+00],[locus_tag=PMT_0086],[protein_id=CAE20261.1],[gene=None],[protein=Possible UDP-glucose-4-epimerase],[evalue=4.53237E-27],[locus_tag=PMT_0115],[protein_id=CAE20290.1],[gene=rfbB],"[protein=dTDP-glucose-4,6-dehydratase]",[evalue=9.90285E-21]
[locus_tag=Syncc8109_0188],[protein_id=AHF62603.1],[gene=ugd],[protein=UDP-glucose 6-dehydrogenase],[locus_tag=PMT_1904],[protein_id=CAE22079.1],[gene=ugd],[protein=UDP-glucose 6-dehydrogenase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0189],[protein_id=AHF62604.1],[gene=None],[protein=putative nucleotide sugar epimerase],[locus_tag=PMT_1903],[protein_id=CAE22078.1],[gene=None],[protein=Putative nucleotide sugar epimerase],[evalue=0.00000E+00],[locus_tag=PMT_0115],[protein_id=CAE20290.1],[gene=rfbB],"[protein=dTDP-glucose-4,6-dehydratase]",[evalue=1.99536E-28],[locus_tag=PMT_0086],[protein_id=CAE20261.1],[gene=None],[protein=Possible UDP-glucose-4-epimerase],[evalue=2.23706E-27]
[locus_tag=Syncc8109_0190],[protein_id=AHF62605.1],[gene=psbJ],[protein=putative photosystem II reaction center J protein],[locus_tag=PMT_1899],[protein_id=CAE22074.1],[gene=psbJ],[protein=photosytem II PsbJ protein],[evalue=5.56552E-31]
[locus_tag=Syncc8109_0191],[protein_id=AHF62606.1],[gene=psbL],[protein=photosystem II reaction center L protein],[locus_tag=PMT_1898],[protein_id=CAE22073.1],[gene=psbL],[protein=photosystem II PsbL protein],[evalue=2.33987E-19]
[locus_tag=Syncc8109_0192],[protein_id=AHF62607.1],[gene=psbF],"[protein=Cytochrome b559, beta subunit]",[locus_tag=PMT_1897],[protein_id=CAE22072.1],[gene=psbF],[protein=Cytochrome b559 beta-subunit],[evalue=2.60925E-18]
[locus_tag=Syncc8109_0193],[protein_id=AHF62608.1],[gene=psbE],"[protein=cytochrome b559, alpha subunit]",[locus_tag=PMT_1896],[protein_id=CAE22071.1],[gene=psbE],[protein=Cytochrome b559 alpha-subunit],[evalue=2.24362E-54]
