[locus_tag=PMT_0019],[protein_id=CAE20194.1],[gene=pilT1],[protein=homologous to PilT1 protein]
[locus_tag=PMT_2152],[protein_id=CAE22326.1],[gene=None],[protein=Guanylate cyclase]
[locus_tag=PMT_2153],[protein_id=CAE22327.1],[gene=None],[protein=None]
[locus_tag=PMT_2154],[protein_id=CAE22328.1],[gene=None],[protein=Cyclic nucleotide-binding domain]
[locus_tag=PMT_2155],[protein_id=CAE22329.1],[gene=None],[protein=possible MARCKS family]
[locus_tag=PMT_2156],[protein_id=CAE22330.1],[gene=None],[protein=PA-phosphatase related phosphoesterase:Bacterial acid phosphatase]
[locus_tag=PMT_2907],[protein_id=CAX32425.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2908],[protein_id=CAX32426.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2161],[protein_id=CAE22335.1],[gene=None],"[protein=possible Tripartite transporter component (TRAP-T family), substrate binding protein]"
[locus_tag=PMT_2162],[protein_id=CAE22336.1],[gene=None],[protein=possible Tripartite transporter component (TRAP-T family)]
[locus_tag=PMT_2163],[protein_id=CAE22337.1],[gene=None],[protein=possible Tripartite transporter component (TRAP-T family)]
[locus_tag=PMT_2909],[protein_id=CAX32427.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2910],[protein_id=CAX32428.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2173],[protein_id=CAE22347.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2178],[protein_id=CAE22352.1],[gene=None],"[protein=possible DNA polymerase III beta subunit, C-te]"
[locus_tag=PMT_2912],[protein_id=CAX32430.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2187],[protein_id=CAE22361.1],[gene=None],"[protein=FAD linked oxidase, N-terminal]"
[locus_tag=PMT_2913],[protein_id=CAX32431.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2914],[protein_id=CAX32432.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2194],[protein_id=CAE22368.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2197],[protein_id=CAE22371.1],[gene=None],"[protein=Bacterial regulatory proteins, ArsR family]"
[locus_tag=PMT_2198],[protein_id=CAE22372.1],[gene=None],[protein=Pentapeptide repeats]
[locus_tag=PMT_2199],[protein_id=CAE22373.1],"[gene=pdxH,ydhA]",[protein=Pyridoxamine 5'-phosphate oxidase]
[locus_tag=PMT_2200],[protein_id=CAE22374.1],[gene=None],[protein=possible transcriptional regulator protein]
[locus_tag=PMT_2916_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2917],[protein_id=CAX32435.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2918],[protein_id=CAX32436.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2920],[protein_id=CAX32438.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2921],[protein_id=CAX32439.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2221],[protein_id=CAE22395.1],[gene=None],[protein=possible serine protease inhibitor]
[locus_tag=PMT_2922],[protein_id=CAX32440.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2924],[protein_id=CAX32442.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2925],[protein_id=CAX32443.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2927_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2256],[protein_id=CAE22430.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_2262],[protein_id=CAE22436.1],[gene=None],[protein=possible NADH-Ubiquinone/plastoquinone (complex I]
[locus_tag=PMT_2265],[protein_id=CAE22439.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2928_pseudo],[protein_id=None],[gene=None],[protein=None]
